Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1673308800000,5.21210000,5.21210000,5.08080000,5.13600000,210050.14000000,1673308859999,1080423.10613800,2378,99735.55000000,513277.04710100,0
1673308860000,5.13840000,5.14560000,5.06080000,5.09930000,94800.37000000,1673308919999,483085.59456100,1236,45569.58000000,232114.47503400,0
1673308920000,5.09720000,5.13670000,5.08210000,5.08540000,114279.79000000,1673308979999,584591.79251200,1128,52847.24000000,270327.39907400,0
1673308980000,5.08240000,5.12890000,5.08240000,5.12210000,47806.62000000,1673309039999,244336.32056700,472,25096.07000000,128235.30967600,0
1673309040000,5.12130000,5.14460000,5.11330000,5.12010000,40836.99000000,1673309099999,209261.29532700,521,20599.20000000,105581.45388400,0
1673309100000,5.12030000,5.15400000,5.11710000,5.15210000,40611.23000000,1673309159999,208618.74383800,576,27711.76000000,142371.92748100,0
1673309160000,5.14820000,5.18580000,5.14410000,5.18010000,53660.64000000,1673309219999,277457.19607100,688,36404.03000000,188267.17221300,0
1673309220000,5.18000000,5.18010000,5.14680000,5.16370000,30338.17000000,1673309279999,156635.89464800,342,16107.99000000,83159.83846300,0
1673309280000,5.16390000,5.16400000,5.14830000,5.14920000,19052.58000000,1673309339999,98195.51204800,251,14725.34000000,75890.80814200,0
1673309340000,5.14940000,5.15280000,5.11600000,5.13770000,26990.36000000,1673309399999,138428.59810700,387,11526.61000000,59097.55070100,0
1673309400000,5.13580000,5.15260000,5.13470000,5.14130000,13167.44000000,1673309459999,67748.31893800,257,9823.22000000,50539.18527000,0
1673309460000,5.14180000,5.17200000,5.12540000,5.15710000,29802.72000000,1673309519999,153256.01430800,467,18553.78000000,95424.99083700,0
1673309520000,5.15700000,5.18350000,5.15250000,5.18000000,24269.31000000,1673309579999,125507.50026900,404,17770.97000000,91903.99979900,0
1673309580000,5.18070000,5.21790000,5.17630000,5.20100000,32833.09000000,1673309639999,170703.72932400,561,18527.66000000,96324.81659600,0
1673309640000,5.20100000,5.21010000,5.16950000,5.19110000,21926.17000000,1673309699999,113773.21465400,350,11747.11000000,60969.01081800,0
1673309700000,5.19070000,5.20880000,5.19070000,5.19580000,10861.82000000,1673309759999,56483.06686700,181,8843.00000000,45988.13231200,0
1673309760000,5.19100000,5.23580000,5.19080000,5.22250000,33387.69000000,1673309819999,174223.84554600,476,22699.25000000,118448.37614500,0
1673309820000,5.22460000,5.27040000,5.20620000,5.22230000,76778.38000000,1673309879999,402423.37225400,911,48058.21000000,251947.51903200,0
1673309880000,5.21910000,5.26230000,5.21710000,5.23800000,52746.93000000,1673309939999,276441.13717100,676,37541.35000000,196748.66839700,0
1673309940000,5.23700000,5.23910000,5.21160000,5.22610000,35995.71000000,1673309999999,188198.40454400,460,16285.09000000,85157.22522200,0
1673310000000,5.22610000,5.24140000,5.22060000,5.22340000,10068.09000000,1673310059999,52683.31575800,174,6433.62000000,33668.80068700,0
1673310060000,5.22100000,5.24910000,5.21230000,5.23910000,49830.81000000,1673310119999,260666.69730800,592,30637.18000000,160257.11840000,0
1673310120000,5.24070000,5.27430000,5.23850000,5.26270000,95749.63000000,1673310179999,503601.64413100,1006,58965.48000000,310124.00527300,0
1673310180000,5.26490000,5.30400000,5.25000000,5.29100000,77704.33000000,1673310239999,410155.00922100,974,40460.59000000,213703.40773800,0
1673310240000,5.28850000,5.29010000,5.24620000,5.25900000,55484.13000000,1673310299999,292257.10566100,748,26328.60000000,138650.05375000,0
1673310300000,5.25920000,5.25930000,5.23210000,5.23980000,34586.88000000,1673310359999,181440.30275400,477,17075.09000000,89587.47447100,0
1673310360000,5.23960000,5.25640000,5.23960000,5.25640000,19071.53000000,1673310419999,100108.79181000,303,12830.82000000,67352.82663000,0
1673310420000,5.25640000,5.27500000,5.25100000,5.25900000,16665.39000000,1673310479999,87662.84333000,221,11202.72000000,58934.09699900,0
1673310480000,5.25910000,5.27660000,5.25680000,5.26670000,20399.45000000,1673310539999,107474.05481400,176,5794.08000000,30522.87703900,0
1673310540000,5.26830000,5.28460000,5.26750000,5.28280000,32526.13000000,1673310599999,171566.98144700,320,24983.98000000,131789.42022100,0
1673310600000,5.28520000,5.29310000,5.23100000,5.24120000,55475.81000000,1673310659999,292126.45543100,602,25916.43000000,136373.95566500,0
1673310660000,5.23980000,5.25770000,5.23660000,5.24940000,16295.39000000,1673310719999,85521.32838000,211,9084.07000000,47690.30188000,0
1673310720000,5.25010000,5.25760000,5.23990000,5.24370000,10619.17000000,1673310779999,55740.24841900,145,5497.69000000,28858.35150700,0
1673310780000,5.24550000,5.25880000,5.24360000,5.25090000,13222.01000000,1673310839999,69409.73041500,169,6424.68000000,33726.98148800,0
1673310840000,5.24890000,5.25160000,5.23320000,5.24170000,9219.13000000,1673310899999,48311.51222100,114,3852.95000000,20198.04870600,0
1673310900000,5.24390000,5.26140000,5.23800000,5.24420000,20657.49000000,1673310959999,108393.59357300,289,9388.76000000,49262.67177500,0
1673310960000,5.24400000,5.25580000,5.24400000,5.25230000,3507.48000000,1673311019999,18417.71702400,81,2325.84000000,12212.84939600,0
1673311020000,5.25090000,5.26810000,5.24690000,5.26140000,11765.34000000,1673311079999,61830.21134600,183,8930.30000000,46942.38305500,0
1673311080000,5.26150000,5.28270000,5.25400000,5.27920000,21044.53000000,1673311139999,110870.14905700,252,12760.37000000,67257.47440500,0
1673311140000,5.27770000,5.29570000,5.27110000,5.28710000,13442.38000000,1673311199999,71014.91732800,243,8666.34000000,45785.58327900,0
1673311200000,5.28770000,5.29470000,5.26610000,5.27220000,20950.68000000,1673311259999,110615.62299900,290,11101.90000000,58615.26081100,0
1673311260000,5.27450000,5.27450000,5.26480000,5.27200000,5862.89000000,1673311319999,30894.85094100,107,3008.64000000,15857.73581700,0
1673311320000,5.27480000,5.29960000,5.27150000,5.29670000,13745.61000000,1673311379999,72683.25832700,165,10848.53000000,57374.21222200,0
1673311380000,5.29680000,5.34160000,5.29450000,5.31550000,103638.72000000,1673311439999,551137.00898300,1154,57188.31000000,304124.24891400,0
1673311440000,5.31270000,5.31570000,5.29490000,5.30780000,15959.99000000,1673311499999,84646.09058800,271,8804.22000000,46695.00961300,0
1673311500000,5.30860000,5.33800000,5.30840000,5.31570000,29221.37000000,1673311559999,155563.11192300,416,18434.79000000,98137.80326300,0
1673311560000,5.31540000,5.32660000,5.29960000,5.31380000,19213.00000000,1673311619999,102043.11678100,353,11463.05000000,60889.21275600,0
1673311620000,5.31360000,5.32500000,5.30850000,5.31700000,10767.41000000,1673311679999,57248.11754500,183,7079.93000000,37636.81443200,0
1673311680000,5.31550000,5.31960000,5.30200000,5.31460000,6963.85000000,1673311739999,36970.08336700,99,4670.81000000,24798.00129900,0
1673311740000,5.31260000,5.32130000,5.31030000,5.31530000,5343.80000000,1673311799999,28404.42277000,82,3288.33000000,17479.57703300,0
1673311800000,5.31760000,5.32240000,5.28150000,5.28790000,12034.04000000,1673311859999,63728.89593800,176,6233.99000000,33002.98153300,0
1673311860000,5.28730000,5.29360000,5.24960000,5.27320000,39913.17000000,1673311919999,210155.17942500,527,21011.78000000,110624.71283600,0
1673311920000,5.27330000,5.27520000,5.26420000,5.26710000,14174.99000000,1673311979999,74713.98150100,125,6965.63000000,36710.44810200,0
1673311980000,5.26800000,5.27340000,5.23350000,5.24680000,14322.27000000,1673312039999,75188.86487100,218,7383.60000000,38764.06593300,0
1673312040000,5.24550000,5.26100000,5.24110000,5.24820000,18350.43000000,1673312099999,96360.06992600,247,8777.52000000,46085.59077700,0
1673312100000,5.25030000,5.25250000,5.22500000,5.24940000,12792.54000000,1673312159999,67008.59098100,214,7687.56000000,40263.00191100,0
1673312160000,5.24700000,5.26610000,5.23940000,5.25780000,21431.40000000,1673312219999,112620.36724100,278,11977.01000000,62939.22841700,0
1673312220000,5.25230000,5.27100000,5.25010000,5.26860000,5938.33000000,1673312279999,31239.01364900,130,4667.77000000,24555.88340500,0
1673312280000,5.26690000,5.27890000,5.26630000,5.26630000,16614.16000000,1673312339999,87604.19379700,242,10454.13000000,55122.52807800,0
1673312340000,5.26390000,5.26850000,5.24650000,5.24650000,10090.56000000,1673312399999,53031.81223300,181,4616.97000000,24267.14262200,0
1673312400000,5.24720000,5.27080000,5.24720000,5.25860000,19743.98000000,1673312459999,103844.34693800,276,12991.02000000,68316.02026600,0
1673312460000,5.25870000,5.26040000,5.23800000,5.24190000,7561.26000000,1673312519999,39678.20308400,109,3739.78000000,19616.39508500,0
1673312520000,5.24160000,5.24610000,5.23340000,5.24100000,10169.02000000,1673312579999,53278.74222400,148,5394.26000000,28267.55688100,0
1673312580000,5.23900000,5.24100000,5.20860000,5.23040000,20013.60000000,1673312639999,104495.28406000,305,8819.41000000,46042.73884800,0
1673312640000,5.23170000,5.23250000,5.21660000,5.21990000,8313.55000000,1673312699999,43434.25997600,129,4221.20000000,22051.54306500,0
1673312700000,5.21980000,5.23240000,5.21270000,5.21800000,13834.67000000,1673312759999,72271.32602800,199,7929.18000000,41414.92453700,0
1673312760000,5.21560000,5.23600000,5.21490000,5.22740000,10307.93000000,1673312819999,53905.65894000,166,5180.88000000,27083.80298900,0
1673312820000,5.22650000,5.22860000,5.21590000,5.22460000,10957.40000000,1673312879999,57225.15054700,156,5031.57000000,26271.52174900,0
1673312880000,5.22300000,5.24710000,5.22170000,5.24310000,12870.98000000,1673312939999,67412.01714700,160,8770.89000000,45924.72652500,0
1673312940000,5.23740000,5.23980000,5.21980000,5.22190000,5959.22000000,1673312999999,31148.10974500,95,3642.44000000,19041.42368800,0
1673313000000,5.22110000,5.22860000,5.21160000,5.21630000,9638.40000000,1673313059999,50293.35977700,147,5552.91000000,28972.93393500,0
1673313060000,5.21480000,5.21520000,5.17830000,5.19780000,34470.36000000,1673313119999,179041.60658700,410,13205.85000000,68606.90461900,0
1673313120000,5.19790000,5.20040000,5.17850000,5.17850000,11391.20000000,1673313179999,59135.24674500,171,4949.06000000,25698.30839500,0
1673313180000,5.18050000,5.18100000,5.16380000,5.16760000,14265.24000000,1673313239999,73793.68507400,215,7622.26000000,39424.52004800,0
1673313240000,5.16560000,5.17360000,5.09390000,5.13700000,101273.91000000,1673313299999,520277.13411100,1236,37038.82000000,190314.67777700,0
1673313300000,5.13620000,5.16580000,5.13580000,5.16220000,28663.06000000,1673313359999,147569.14220700,422,16631.15000000,85625.32738300,0
1673313360000,5.16000000,5.17420000,5.15160000,5.16380000,13501.08000000,1673313419999,69730.28622300,146,4156.42000000,21466.05599300,0
1673313420000,5.16730000,5.17240000,5.15600000,5.16660000,16137.27000000,1673313479999,83329.03612600,156,10961.25000000,56602.86800100,0
1673313480000,5.16730000,5.18190000,5.16660000,5.18020000,15503.90000000,1673313539999,80233.16817400,203,11038.38000000,57122.85104700,0
1673313540000,5.17930000,5.18670000,5.17870000,5.18020000,7073.60000000,1673313599999,36650.01488500,137,2506.16000000,12986.15890000,0
1673313600000,5.17790000,5.18060000,5.17030000,5.17180000,1139.87000000,1673313659999,5898.84021200,32,796.74000000,4122.99456600,0
1673313660000,5.17040000,5.19550000,5.17010000,5.19530000,5717.07000000,1673313719999,29624.31062900,105,3910.02000000,20247.74010100,0
1673313720000,5.19510000,5.19510000,5.18440000,5.18690000,3299.07000000,1673313779999,17111.53743700,61,2843.21000000,14746.36625000,0
1673313780000,5.18540000,5.19530000,5.18210000,5.18240000,8898.51000000,1673313839999,46161.85629900,115,6997.73000000,36300.84852600,0
1673313840000,5.18210000,5.19120000,5.17770000,5.18080000,11181.46000000,1673313899999,57971.47806000,147,7002.36000000,36312.30405100,0
1673313900000,5.18050000,5.18300000,5.17130000,5.17870000,8765.11000000,1673313959999,45379.49856100,112,6261.85000000,32420.29511500,0
1673313960000,5.17890000,5.18120000,5.17330000,5.18000000,4214.65000000,1673314019999,21823.31895100,88,1747.28000000,9046.30862900,0
1673314020000,5.18020000,5.18130000,5.16460000,5.16460000,10149.13000000,1673314079999,52539.46568700,99,4062.91000000,21030.71104800,0
1673314080000,5.16550000,5.18260000,5.15690000,5.18130000,19216.61000000,1673314139999,99405.68145800,239,12465.92000000,64483.17909700,0
1673314140000,5.18130000,5.18540000,5.17270000,5.17810000,9909.01000000,1673314199999,51313.85892700,142,4437.44000000,22979.52619400,0
1673314200000,5.17710000,5.19400000,5.17710000,5.18900000,8185.87000000,1673314259999,42464.62146500,122,3610.02000000,18721.12980400,0
1673314260000,5.18720000,5.18910000,5.17870000,5.18260000,10508.17000000,1673314319999,54490.32415300,129,5332.87000000,27651.39006300,0
1673314320000,5.18360000,5.18600000,5.17910000,5.18010000,6226.09000000,1673314379999,32267.50565200,92,1826.18000000,9464.90168400,0
1673314380000,5.18090000,5.18130000,5.14900000,5.16670000,20387.29000000,1673314439999,105299.47719800,196,6984.99000000,36089.88899800,0
1673314440000,5.16700000,5.17440000,5.15670000,5.17100000,8258.41000000,1673314499999,42650.97257000,117,3000.22000000,15491.23380500,0
1673314500000,5.17170000,5.18880000,5.17000000,5.18880000,10491.76000000,1673314559999,54324.54616800,128,5840.41000000,30226.93273300,0
1673314560000,5.18900000,5.21350000,5.18720000,5.21260000,23063.64000000,1673314619999,119936.44265400,281,13829.65000000,71908.18223600,0
1673314620000,5.21350000,5.22410000,5.20980000,5.21760000,32709.89000000,1673314679999,170660.05357100,459,14584.10000000,76105.27792800,0
1673314680000,5.21750000,5.23750000,5.21570000,5.22100000,26754.99000000,1673314739999,139871.98808900,301,16259.11000000,84991.92662600,0
1673314740000,5.22230000,5.22900000,5.22140000,5.22380000,4174.03000000,1673314799999,21807.15726800,47,2760.24000000,14423.01883400,0
1673314800000,5.22320000,5.24160000,5.21910000,5.23940000,14471.76000000,1673314859999,75720.04112200,184,7486.91000000,39183.20850200,0
1673314860000,5.23820000,5.25700000,5.23740000,5.24500000,25245.11000000,1673314919999,132485.19850800,302,11226.60000000,58902.78918500,0
1673314920000,5.24480000,5.24480000,5.22400000,5.23810000,25153.01000000,1673314979999,131689.40711200,298,15462.04000000,80940.32279000,0
1673314980000,5.23770000,5.26700000,5.23710000,5.26020000,19772.35000000,1673315039999,103921.30728800,266,12519.24000000,65787.02458000,0
1673315040000,5.26030000,5.26110000,5.25150000,5.25510000,4931.29000000,1673315099999,25929.09077200,54,732.92000000,3853.07897700,0
1673315100000,5.25520000,5.26860000,5.25290000,5.26140000,11869.34000000,1673315159999,62453.93371900,129,5360.29000000,28199.14731500,0
1673315160000,5.26130000,5.26460000,5.24370000,5.24370000,5400.82000000,1673315219999,28394.44205500,67,2992.41000000,15734.79991300,0
1673315220000,5.24490000,5.25470000,5.24490000,5.24790000,13003.91000000,1673315279999,68281.89793400,116,6792.73000000,35658.78243800,0
1673315280000,5.24780000,5.26220000,5.24570000,5.25950000,25468.38000000,1673315339999,133860.64927700,224,12323.78000000,64771.64979900,0
1673315340000,5.25740000,5.26870000,5.24190000,5.24190000,22727.52000000,1673315399999,119470.03590000,283,14237.15000000,74857.89755800,0
1673315400000,5.24160000,5.25130000,5.22820000,5.24580000,16852.62000000,1673315459999,88287.98299700,255,7221.44000000,37832.76330100,0
1673315460000,5.24520000,5.24700000,5.23380000,5.23380000,5351.18000000,1673315519999,28046.97736600,91,3285.15000000,17217.14739100,0
1673315520000,5.23440000,5.23580000,5.22280000,5.22420000,16502.18000000,1673315579999,86306.17564500,210,7841.67000000,41016.37401600,0
1673315580000,5.22590000,5.23030000,5.22260000,5.22410000,5082.73000000,1673315639999,26562.64693600,79,3251.10000000,16991.44237000,0
1673315640000,5.22360000,5.22980000,5.22250000,5.22700000,8479.45000000,1673315699999,44317.18835100,97,4638.79000000,24243.68677700,0
1673315700000,5.22590000,5.24140000,5.21910000,5.23900000,13666.65000000,1673315759999,71461.70733100,154,7283.81000000,38089.25732800,0
1673315760000,5.23820000,5.24290000,5.23210000,5.24290000,3898.71000000,1673315819999,20416.42929100,56,2616.16000000,13700.14803500,0
1673315820000,5.23810000,5.23990000,5.22320000,5.22640000,9341.96000000,1673315879999,48886.79090200,99,5876.72000000,30751.76844700,0
1673315880000,5.22930000,5.23510000,5.22760000,5.23350000,2290.46000000,1673315939999,11982.29284300,44,1605.96000000,8400.93528800,0
1673315940000,5.23470000,5.24740000,5.23370000,5.24170000,8514.20000000,1673315999999,44625.41108900,112,4828.59000000,25302.66046200,0
1673316000000,5.24210000,5.25000000,5.24130000,5.24900000,16238.99000000,1673316059999,85185.81852700,161,11336.82000000,59476.22492900,0
1673316060000,5.25000000,5.25050000,5.22680000,5.22680000,15418.55000000,1673316119999,80745.92849000,205,4531.34000000,23724.57853800,0
1673316120000,5.22680000,5.23010000,5.21960000,5.22770000,11191.60000000,1673316179999,58469.36049400,174,5599.16000000,29250.57063200,0
1673316180000,5.22750000,5.24080000,5.21880000,5.23750000,12725.94000000,1673316239999,66505.72453300,190,8083.80000000,42234.83094000,0
1673316240000,5.23670000,5.24990000,5.23450000,5.24580000,12759.81000000,1673316299999,66910.70022000,147,7432.62000000,38976.90624500,0
1673316300000,5.24510000,5.24730000,5.23780000,5.24600000,10630.15000000,1673316359999,55744.21886100,130,6129.36000000,32140.70777700,0
1673316360000,5.24670000,5.25390000,5.23930000,5.24880000,15635.04000000,1673316419999,82027.00598800,180,7804.97000000,40933.81588100,0
1673316420000,5.24800000,5.25050000,5.24200000,5.24200000,3759.37000000,1673316479999,19728.99577300,67,1876.28000000,9847.63765700,0
1673316480000,5.24240000,5.24330000,5.23320000,5.23340000,9869.57000000,1673316539999,51701.71573800,146,5089.80000000,26660.13537600,0
1673316540000,5.23340000,5.24870000,5.22770000,5.24480000,15518.93000000,1673316599999,81353.37780500,190,9781.17000000,51270.10407700,0
1673316600000,5.24280000,5.25520000,5.24280000,5.25180000,31824.00000000,1673316659999,167025.34837900,271,17879.19000000,93819.09377500,0
1673316660000,5.25240000,5.27170000,5.25140000,5.26040000,33923.86000000,1673316719999,178474.68374400,376,21172.09000000,111375.23095300,0
1673316720000,5.26150000,5.29730000,5.26150000,5.27180000,49341.26000000,1673316779999,260442.32300800,551,22814.11000000,120376.79789000,0
1673316780000,5.27150000,5.27450000,5.26230000,5.26570000,7958.71000000,1673316839999,41922.62214100,125,3569.16000000,18801.72468000,0
1673316840000,5.26450000,5.26880000,5.25000000,5.26010000,12236.02000000,1673316899999,64358.55289900,185,6688.71000000,35178.96852500,0
1673316900000,5.25860000,5.26560000,5.24810000,5.25240000,34936.21000000,1673316959999,183549.82557200,305,25111.04000000,131903.84258500,0
1673316960000,5.25170000,5.25420000,5.24760000,5.25000000,18581.30000000,1673317019999,97553.58401000,163,11177.46000000,58674.34927400,0
1673317020000,5.24870000,5.25510000,5.24560000,5.24570000,8083.64000000,1673317079999,42444.83668500,91,5605.09000000,29430.37087600,0
1673317080000,5.24470000,5.24470000,5.18770000,5.20000000,67223.81000000,1673317139999,350737.99393100,628,31663.71000000,165234.29699700,0
1673317140000,5.19920000,5.21360000,5.19040000,5.19950000,41638.86000000,1673317199999,216613.81454500,406,23800.60000000,123804.98494600,0
1673317200000,5.19840000,5.20070000,5.18110000,5.18780000,57706.60000000,1673317259999,299516.61320000,430,43305.73000000,224781.22419400,0
1673317260000,5.18950000,5.19310000,5.17800000,5.19310000,40407.41000000,1673317319999,209498.79723500,420,31903.96000000,165401.92572000,0
1673317320000,5.19290000,5.20350000,5.18200000,5.20160000,18961.63000000,1673317379999,98452.61834200,231,12817.30000000,66563.55541100,0
1673317380000,5.20150000,5.21060000,5.18400000,5.18700000,14368.39000000,1673317439999,74632.69886900,265,7015.85000000,36436.95482200,0
1673317440000,5.18640000,5.19800000,5.18210000,5.19490000,9908.72000000,1673317499999,51428.53414500,146,6135.99000000,31848.33810900,0
1673317500000,5.19510000,5.19860000,5.18830000,5.19340000,3527.93000000,1673317559999,18320.09603900,71,1527.56000000,7931.21806300,0
1673317560000,5.19390000,5.19970000,5.15540000,5.16360000,33298.01000000,1673317619999,172279.35676000,388,12244.42000000,63324.24439700,0
1673317620000,5.16380000,5.16380000,5.14850000,5.15310000,27546.85000000,1673317679999,142025.28414900,303,11084.35000000,57161.74860600,0
