Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1685232000000,1.17210000,1.17290000,1.17210000,1.17260000,39267.10000000,1685232059999,46037.98604000,82,17971.80000000,21069.20136000,0
1685232060000,1.17250000,1.17250000,1.16910000,1.16950000,512293.60000000,1685232119999,599575.76291000,385,78841.70000000,92237.06664000,0
1685232120000,1.16960000,1.16990000,1.16950000,1.16980000,30442.70000000,1685232179999,35609.09779000,73,22671.70000000,26519.18230000,0
1685232180000,1.16980000,1.16980000,1.16770000,1.16840000,192754.40000000,1685232239999,225237.93228000,294,90065.60000000,105239.36318000,0
1685232240000,1.16850000,1.17030000,1.16820000,1.16880000,175130.00000000,1685232299999,204742.38763000,302,105972.40000000,123903.05939000,0
1685232300000,1.16870000,1.16950000,1.16860000,1.16910000,136646.50000000,1685232359999,159730.09888000,103,124628.90000000,145680.21866000,0
1685232360000,1.16910000,1.16910000,1.16840000,1.16840000,14383.50000000,1685232419999,16810.22732000,30,3612.80000000,4222.40574000,0
1685232420000,1.16850000,1.16850000,1.16790000,1.16790000,8151.70000000,1685232479999,9524.32756000,30,1622.60000000,1895.76345000,0
1685232480000,1.16790000,1.16850000,1.16790000,1.16800000,11996.80000000,1685232539999,14015.85181000,37,5224.50000000,6103.63729000,0
1685232540000,1.16800000,1.16840000,1.16800000,1.16840000,3300.80000000,1685232599999,3855.78460000,15,3300.80000000,3855.78460000,0
1685232600000,1.16840000,1.16870000,1.16820000,1.16860000,10815.70000000,1685232659999,12637.24973000,33,6304.00000000,7365.98635000,0
1685232660000,1.16860000,1.16950000,1.16860000,1.16880000,45048.00000000,1685232719999,52666.64783000,68,14741.20000000,17235.90785000,0
1685232720000,1.16880000,1.16880000,1.16840000,1.16840000,8569.30000000,1685232779999,10014.93471000,20,1776.10000000,2075.72572000,0
1685232780000,1.16830000,1.16840000,1.16830000,1.16840000,6750.50000000,1685232839999,7886.63745000,13,325.10000000,379.84263000,0
1685232840000,1.16830000,1.16850000,1.16830000,1.16850000,9871.90000000,1685232899999,11534.34988000,15,7811.90000000,9127.42396000,0
1685232900000,1.16850000,1.16850000,1.16770000,1.16770000,38242.60000000,1685232959999,44664.10974000,68,15240.30000000,17798.58154000,0
1685232960000,1.16770000,1.16770000,1.16630000,1.16660000,110944.90000000,1685233019999,129497.82153000,181,6107.40000000,7124.24663000,0
1685233020000,1.16620000,1.16620000,1.16420000,1.16500000,279254.20000000,1685233079999,325345.52663000,257,23321.50000000,27169.86133000,0
1685233080000,1.16500000,1.16610000,1.16450000,1.16600000,46023.00000000,1685233139999,53626.37609000,111,36681.50000000,42738.14671000,0
1685233140000,1.16570000,1.16630000,1.16510000,1.16630000,83686.60000000,1685233199999,97555.06420000,76,51970.80000000,60586.26807000,0
1685233200000,1.16640000,1.16670000,1.16630000,1.16670000,6323.40000000,1685233259999,7375.92872000,24,1818.10000000,2120.76188000,0
1685233260000,1.16670000,1.16680000,1.16620000,1.16680000,12532.00000000,1685233319999,14618.90820000,31,3507.90000000,4092.47435000,0
1685233320000,1.16680000,1.16790000,1.16680000,1.16790000,33892.40000000,1685233379999,39560.41350000,66,18409.80000000,21487.94610000,0
1685233380000,1.16800000,1.16820000,1.16740000,1.16760000,52143.40000000,1685233439999,60890.54020000,50,6144.30000000,7175.49062000,0
1685233440000,1.16760000,1.16870000,1.16760000,1.16860000,23761.70000000,1685233499999,27764.80302000,46,18843.40000000,22016.92485000,0
1685233500000,1.16850000,1.16850000,1.16770000,1.16830000,16053.00000000,1685233559999,18752.96950000,38,3251.70000000,3797.81412000,0
1685233560000,1.16830000,1.16830000,1.16780000,1.16790000,21627.80000000,1685233619999,25262.74304000,34,2753.10000000,3216.12643000,0
1685233620000,1.16800000,1.16800000,1.16800000,1.16800000,1278.30000000,1685233679999,1493.05440000,5,1278.30000000,1493.05440000,0
1685233680000,1.16800000,1.16810000,1.16800000,1.16810000,2721.70000000,1685233739999,3179.21022000,11,2646.20000000,3091.02622000,0
1685233740000,1.16810000,1.16880000,1.16810000,1.16880000,4527.00000000,1685233799999,5289.09940000,18,2844.50000000,3323.51402000,0
1685233800000,1.16890000,1.16910000,1.16840000,1.16880000,13587.40000000,1685233859999,15880.02163000,31,7929.40000000,9266.76734000,0
1685233860000,1.16900000,1.16920000,1.16900000,1.16920000,1493.70000000,1685233919999,1746.28955000,11,970.20000000,1134.31805000,0
1685233920000,1.16940000,1.17010000,1.16940000,1.16960000,21810.90000000,1685233979999,25513.73389000,41,17999.70000000,21055.09965000,0
1685233980000,1.16960000,1.17040000,1.16960000,1.17040000,14392.40000000,1685234039999,16843.62041000,21,9866.30000000,11546.44949000,0
1685234040000,1.17030000,1.17030000,1.16950000,1.16960000,19243.50000000,1685234099999,22516.72369000,42,4333.00000000,5068.76194000,0
1685234100000,1.16960000,1.17150000,1.16960000,1.17150000,31941.90000000,1685234159999,37399.54801000,75,30285.20000000,35459.30315000,0
1685234160000,1.17150000,1.17270000,1.17130000,1.17140000,79966.70000000,1685234219999,93730.37368000,168,32554.00000000,38157.47358000,0
1685234220000,1.17160000,1.17350000,1.17160000,1.17280000,24960.40000000,1685234279999,29278.18318000,73,14157.60000000,16603.86962000,0
1685234280000,1.17250000,1.17310000,1.17250000,1.17260000,7206.60000000,1685234339999,8452.60234000,16,5942.00000000,6969.35143000,0
