Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1693008000000,0.42364000,0.42364000,0.42260000,0.42274000,7304.00000000,1693008059999,3088.00420000,31,0.00000000,0.00000000,0
1693008060000,0.42309000,0.42309000,0.42309000,0.42309000,31.00000000,1693008119999,13.11579000,1,31.00000000,13.11579000,0
1693008120000,0.42294000,0.42314000,0.42290000,0.42314000,2996.00000000,1693008179999,1267.67704000,12,2903.00000000,1228.34548000,0
1693008180000,0.42276000,0.42325000,0.42265000,0.42275000,26679.00000000,1693008239999,11285.32168000,41,20661.00000000,8740.80045000,0
1693008240000,0.42278000,0.42278000,0.42234000,0.42260000,23917.00000000,1693008299999,10108.01441000,49,527.00000000,222.65493000,0
1693008300000,0.42239000,0.42245000,0.42192000,0.42203000,6181.00000000,1693008359999,2608.92555000,33,581.00000000,245.28059000,0
1693008360000,0.42194000,0.42194000,0.42131000,0.42131000,4129.00000000,1693008419999,1740.61162000,15,41.00000000,17.29954000,0
1693008420000,0.42124000,0.42124000,0.42120000,0.42120000,65.00000000,1693008479999,27.37900000,2,0.00000000,0.00000000,0
1693008480000,0.42131000,0.42147000,0.42131000,0.42147000,279.00000000,1693008539999,117.56781000,10,279.00000000,117.56781000,0
1693008540000,0.42138000,0.42150000,0.42108000,0.42121000,4362.00000000,1693008599999,1837.21729000,26,854.00000000,359.94741000,0
1693008600000,0.42112000,0.42160000,0.42101000,0.42160000,959.00000000,1693008659999,403.87687000,18,371.00000000,156.26802000,0
1693008660000,0.42160000,0.42160000,0.42160000,0.42160000,0.00000000,1693008719999,0.00000000,0,0.00000000,0.00000000,0
1693008720000,0.42160000,0.42160000,0.42160000,0.42160000,0.00000000,1693008779999,0.00000000,0,0.00000000,0.00000000,0
1693008780000,0.42142000,0.42142000,0.42121000,0.42121000,760.00000000,1693008839999,320.18141000,8,31.00000000,13.05751000,0
1693008840000,0.42111000,0.42113000,0.42111000,0.42113000,5583.00000000,1693008899999,2351.15265000,6,5583.00000000,2351.15265000,0
1693008900000,0.42117000,0.42117000,0.41973000,0.42019000,24542.00000000,1693008959999,10315.11019000,103,1110.00000000,466.74038000,0
1693008960000,0.42056000,0.42118000,0.42056000,0.42118000,2964.00000000,1693009019999,1247.66859000,15,2964.00000000,1247.66859000,0
1693009020000,0.42127000,0.42209000,0.42127000,0.42181000,4985.00000000,1693009079999,2103.18577000,25,4985.00000000,2103.18577000,0
1693009080000,0.42175000,0.42175000,0.42175000,0.42175000,25.00000000,1693009139999,10.54375000,1,0.00000000,0.00000000,0
1693009140000,0.42160000,0.42175000,0.42158000,0.42175000,2462.00000000,1693009199999,1038.33858000,5,2400.00000000,1012.20000000,0
1693009200000,0.42173000,0.42192000,0.42170000,0.42190000,644.00000000,1693009259999,271.64893000,5,582.00000000,245.50260000,0
1693009260000,0.42200000,0.42232000,0.42200000,0.42217000,4101.00000000,1693009319999,1731.17933000,13,3862.00000000,1630.26358000,0
1693009320000,0.42171000,0.42171000,0.42168000,0.42168000,65.00000000,1693009379999,27.40995000,2,0.00000000,0.00000000,0
1693009380000,0.42202000,0.42202000,0.42198000,0.42198000,93.00000000,1693009439999,39.24600000,3,0.00000000,0.00000000,0
1693009440000,0.42172000,0.42172000,0.42136000,0.42140000,799.00000000,1693009499999,336.87050000,12,84.00000000,35.40194000,0
1693009500000,0.42149000,0.42200000,0.42149000,0.42200000,630.00000000,1693009559999,265.64958000,4,630.00000000,265.64958000,0
1693009560000,0.42199000,0.42207000,0.42199000,0.42207000,225.00000000,1693009619999,94.94975000,2,225.00000000,94.94975000,0
1693009620000,0.42219000,0.42247000,0.42219000,0.42247000,1109.00000000,1693009679999,468.42325000,6,1109.00000000,468.42325000,0
