Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1612483200000,1595.53000000,1605.19000000,1595.25000000,1604.09000000,2461.88380000,1612483259999,3940142.34260620,2469,1284.25290000,2054736.65976730,0
1612483260000,1604.68000000,1608.93000000,1604.06000000,1606.42000000,1785.43596000,1612483319999,2868162.25955330,1882,849.53287000,1364550.68992790,0
1612483320000,1606.32000000,1608.10000000,1598.50000000,1599.19000000,1392.45076000,1612483379999,2232470.19502920,1630,633.44345000,1015416.11965990,0
1612483380000,1599.19000000,1600.72000000,1594.68000000,1596.90000000,2680.13716000,1612483439999,4281777.82844010,3312,1791.54064000,2862179.62523620,0
1612483440000,1596.51000000,1603.91000000,1596.10000000,1600.00000000,857.03271000,1612483499999,1371465.58182780,1193,367.85840000,588700.93585840,0
1612483500000,1600.12000000,1604.65000000,1598.63000000,1603.47000000,1352.32453000,1612483559999,2165597.17645680,1329,773.21859000,1238248.40006870,0
1612483560000,1603.20000000,1603.77000000,1599.00000000,1600.49000000,709.07410000,1612483619999,1135646.02114770,842,276.06435000,442198.27436670,0
1612483620000,1600.49000000,1603.48000000,1600.43000000,1601.21000000,543.34992000,1612483679999,870282.03165740,667,237.73926000,380837.61761090,0
1612483680000,1601.21000000,1603.54000000,1598.35000000,1598.79000000,339.90768000,1612483739999,544292.04198860,692,169.98681000,272234.74534400,0
1612483740000,1598.73000000,1598.73000000,1592.84000000,1593.25000000,692.65313000,1612483799999,1105626.75902070,1134,307.68411000,491119.82644220,0
1612483800000,1593.19000000,1593.89000000,1591.00000000,1592.39000000,1033.64949000,1612483859999,1645733.64988860,1251,545.12384000,868018.55744080,0
1612483860000,1592.39000000,1601.64000000,1591.33000000,1601.63000000,788.51672000,1612483919999,1259440.15355250,1123,458.69036000,732707.83752110,0
1612483920000,1601.64000000,1601.73000000,1595.21000000,1597.31000000,1350.71841000,1612483979999,2158518.36136840,1169,474.59157000,758174.73247190,0
1612483980000,1597.32000000,1602.27000000,1597.16000000,1601.56000000,802.19713000,1612484039999,1284110.09574710,1043,391.07289000,625920.57767950,0
1612484040000,1601.66000000,1603.83000000,1601.41000000,1603.83000000,348.43132000,1612484099999,558384.62927070,824,179.26815000,287303.31634700,0
1612484100000,1603.83000000,1605.51000000,1602.62000000,1604.73000000,486.50979000,1612484159999,780267.14546170,714,265.41964000,425718.37484420,0
1612484160000,1604.90000000,1612.00000000,1604.20000000,1611.33000000,1582.08782000,1612484219999,2546915.06395680,1324,902.49460000,1452385.99413430,0
1612484220000,1611.33000000,1613.27000000,1607.43000000,1609.05000000,1224.27217000,1612484279999,1972133.50209080,1105,676.66605000,1089694.47078060,0
1612484280000,1608.71000000,1611.49000000,1607.16000000,1608.01000000,756.27812000,1612484339999,1217000.91295960,773,424.78100000,683441.14891750,0
1612484340000,1608.01000000,1610.00000000,1606.00000000,1609.18000000,472.98601000,1612484399999,760598.31185330,637,255.20700000,410371.06301130,0
1612484400000,1608.94000000,1609.18000000,1603.00000000,1608.00000000,2132.35970000,1612484459999,3422196.22468390,941,1272.30529000,2041440.66879590,0
1612484460000,1608.40000000,1609.71000000,1608.00000000,1609.30000000,294.74908000,1612484519999,474168.36598340,511,197.15840000,317172.00615150,0
1612484520000,1609.14000000,1611.52000000,1608.31000000,1609.99000000,1745.36598000,1612484579999,2810218.54668480,969,1118.06170000,1800090.74938830,0
1612484580000,1609.99000000,1611.67000000,1607.90000000,1609.51000000,897.16888000,1612484639999,1444129.29247440,783,476.99645000,767794.92740310,0
1612484640000,1609.40000000,1614.00000000,1609.31000000,1613.31000000,1861.76442000,1612484699999,2999371.97175480,1161,1169.05636000,1883255.42208740,0
1612484700000,1613.36000000,1617.42000000,1610.07000000,1610.31000000,1596.86711000,1612484759999,2577532.99586870,1464,998.06499000,1611878.52097950,0
1612484760000,1610.20000000,1613.27000000,1610.20000000,1612.65000000,300.45503000,1612484819999,484244.32864470,512,178.99485000,288508.21926720,0
1612484820000,1612.40000000,1613.90000000,1611.00000000,1613.89000000,366.27208000,1612484879999,590515.45235720,503,226.02140000,364397.24729400,0
1612484880000,1613.81000000,1615.00000000,1612.54000000,1613.76000000,618.32992000,1612484939999,998153.93984810,553,304.26245000,491262.82354020,0
1612484940000,1613.97000000,1616.42000000,1611.73000000,1614.38000000,612.34921000,1612484999999,988290.02350440,661,348.22208000,562090.36895550,0
1612485000000,1614.20000000,1618.00000000,1613.77000000,1616.27000000,692.69093000,1612485059999,1119260.42797480,787,432.22246000,698360.82053630,0
1612485060000,1616.25000000,1618.00000000,1615.90000000,1617.55000000,359.68085000,1612485119999,581677.16785030,530,146.36083000,236674.78113380,0
1612485120000,1617.51000000,1618.12000000,1616.51000000,1617.83000000,571.51891000,1612485179999,924360.91311490,475,189.26482000,306131.15264940,0
1612485180000,1617.89000000,1618.12000000,1613.13000000,1613.97000000,749.16223000,1612485239999,1210489.18284950,663,166.45330000,268939.43051100,0
1612485240000,1613.98000000,1619.27000000,1613.64000000,1615.41000000,627.03534000,1612485299999,1013589.21298600,692,427.15918000,690620.12351560,0
1612485300000,1615.41000000,1617.75000000,1613.00000000,1613.72000000,482.18132000,1612485359999,778877.78000330,569,254.59302000,411269.91031950,0
1612485360000,1613.98000000,1615.94000000,1613.20000000,1613.20000000,281.93185000,1612485419999,455221.21601410,427,100.04381000,161527.92604920,0
1612485420000,1613.44000000,1613.55000000,1610.00000000,1612.79000000,1083.06691000,1612485479999,1744991.57046940,813,348.20300000,560854.97629210,0
1612485480000,1612.78000000,1615.18000000,1610.43000000,1613.68000000,351.65474000,1612485539999,567321.09292890,490,151.62211000,244631.32965400,0
1612485540000,1613.69000000,1613.99000000,1611.12000000,1612.77000000,438.33597000,1612485599999,706707.54213120,590,204.36433000,329487.59269380,0
1612485600000,1612.76000000,1613.06000000,1611.25000000,1611.88000000,411.09778000,1612485659999,662842.18103240,419,200.03178000,322508.08143450,0
1612485660000,1611.90000000,1613.52000000,1610.76000000,1613.49000000,324.01283000,1612485719999,522416.02108120,382,157.51669000,253966.77149550,0
1612485720000,1613.34000000,1616.00000000,1612.39000000,1615.89000000,650.13767000,1612485779999,1049804.27118150,503,505.86816000,816947.81855900,0
1612485780000,1615.98000000,1617.04000000,1614.00000000,1617.04000000,562.10534000,1612485839999,908005.28109820,619,370.73956000,598980.04811200,0
1612485840000,1616.76000000,1616.76000000,1614.43000000,1615.10000000,397.79870000,1612485899999,642582.55353540,468,104.01411000,168000.51998420,0
1612485900000,1615.05000000,1617.08000000,1614.20000000,1616.30000000,467.31951000,1612485959999,754946.33787450,640,270.22954000,436588.75501400,0
1612485960000,1616.35000000,1616.48000000,1613.55000000,1613.97000000,653.96353000,1612486019999,1055957.55548100,750,290.22010000,468600.23971390,0
1612486020000,1614.14000000,1618.35000000,1614.14000000,1616.67000000,571.49034000,1612486079999,923999.94446260,838,224.60481000,363093.69531140,0
1612486080000,1616.91000000,1623.00000000,1616.91000000,1621.32000000,1989.59692000,1612486139999,3224757.17502730,1542,1360.79656000,2205401.68085210,0
1612486140000,1621.39000000,1621.74000000,1617.16000000,1618.25000000,485.64545000,1612486199999,786314.70283910,542,173.51856000,280841.62363250,0
1612486200000,1618.25000000,1619.60000000,1617.62000000,1617.62000000,261.12300000,1612486259999,422641.72555840,340,189.55542000,306810.16685620,0
1612486260000,1617.64000000,1618.87000000,1616.66000000,1616.67000000,432.99699000,1612486319999,700349.66890830,547,207.31298000,335313.22950220,0
1612486320000,1616.67000000,1618.93000000,1616.48000000,1617.72000000,486.03477000,1612486379999,786043.57305010,489,351.19952000,567885.48066430,0
1612486380000,1617.75000000,1619.58000000,1616.20000000,1619.58000000,1073.49987000,1612486439999,1736413.82567620,679,912.86806000,1476556.33298090,0
1612486440000,1619.58000000,1619.69000000,1616.51000000,1617.25000000,342.06780000,1612486499999,553466.36582750,576,173.64202000,280920.52476930,0
1612486500000,1617.25000000,1619.25000000,1616.80000000,1617.28000000,683.50349000,1612486559999,1105771.45136990,606,378.30365000,611917.19354160,0
1612486560000,1617.16000000,1617.44000000,1612.38000000,1612.66000000,457.73669000,1612486619999,739316.77161310,855,129.18245000,208668.30813360,0
1612486620000,1612.65000000,1614.69000000,1610.72000000,1612.88000000,606.83475000,1612486679999,978619.21808890,703,243.37298000,392519.96085750,0
1612486680000,1612.87000000,1614.99000000,1611.46000000,1614.99000000,432.35185000,1612486739999,697290.74581800,774,225.81661000,364198.81343690,0
1612486740000,1614.99000000,1615.32000000,1612.01000000,1614.66000000,446.83375000,1612486799999,721071.19863100,635,186.78488000,301433.14996580,0
1612486800000,1614.74000000,1616.60000000,1613.66000000,1614.95000000,479.49074000,1612486859999,774461.32899580,539,232.67180000,375769.05057430,0
1612486860000,1614.81000000,1615.85000000,1612.39000000,1612.84000000,490.33762000,1612486919999,791447.37027450,586,247.28269000,399188.75848200,0
1612486920000,1612.90000000,1614.68000000,1610.07000000,1614.56000000,686.15948000,1612486979999,1106028.57221650,679,277.84242000,447937.32470970,0
1612486980000,1614.56000000,1617.01000000,1612.08000000,1616.92000000,1243.29100000,1612487039999,2007437.05582550,669,444.95230000,718392.56492110,0
1612487040000,1616.98000000,1619.24000000,1615.82000000,1618.59000000,527.16510000,1612487099999,852661.12786620,717,230.38678000,372631.74129630,0
1612487100000,1618.69000000,1622.15000000,1618.69000000,1622.03000000,372.19614000,1612487159999,603099.75324860,663,219.23805000,355306.22315740,0
1612487160000,1622.02000000,1624.55000000,1622.01000000,1624.14000000,535.52301000,1612487219999,869538.38278620,1087,309.41204000,502455.14946410,0
1612487220000,1624.14000000,1624.14000000,1621.01000000,1621.20000000,487.74325000,1612487279999,791410.55654060,812,215.00974000,348846.08945550,0
1612487280000,1621.09000000,1621.80000000,1618.85000000,1619.27000000,378.66597000,1612487339999,613546.24533630,553,253.30009000,410441.30447980,0
1612487340000,1619.27000000,1619.29000000,1614.44000000,1615.50000000,613.68310000,1612487399999,992140.35060300,964,160.08409000,258745.39012570,0
1612487400000,1615.50000000,1617.69000000,1615.01000000,1615.42000000,438.92405000,1612487459999,709272.36164440,661,242.25030000,391427.13319170,0
1612487460000,1615.42000000,1617.50000000,1615.42000000,1616.05000000,321.81276000,1612487519999,520189.25079310,526,185.31937000,299542.48758630,0
1612487520000,1616.06000000,1618.69000000,1615.10000000,1618.57000000,353.81814000,1612487579999,571921.68087160,493,243.97810000,394376.37715400,0
1612487580000,1618.57000000,1618.96000000,1617.00000000,1617.23000000,650.81403000,1612487639999,1052839.52537820,586,385.83771000,624192.66729770,0
1612487640000,1617.51000000,1620.00000000,1617.51000000,1619.60000000,874.22358000,1612487699999,1415460.47712230,810,688.72192000,1115101.95062340,0
1612487700000,1619.66000000,1622.00000000,1618.95000000,1621.70000000,512.51265000,1612487759999,830704.71174580,623,319.35641000,517614.44823810,0
1612487760000,1621.50000000,1621.70000000,1618.01000000,1619.02000000,339.13391000,1612487819999,549358.97407500,573,187.32568000,303417.49024910,0
1612487820000,1619.02000000,1619.09000000,1617.69000000,1617.78000000,370.28002000,1612487879999,599393.93393710,588,222.62301000,360383.08099880,0
1612487880000,1617.74000000,1620.09000000,1617.00000000,1617.01000000,547.88108000,1612487939999,886858.95944500,689,367.94772000,595700.42643960,0
1612487940000,1617.01000000,1617.88000000,1616.00000000,1617.26000000,382.09785000,1612487999999,617800.43161080,693,202.90129000,328077.57660970,0
1612488000000,1617.20000000,1620.65000000,1617.06000000,1620.65000000,314.82002000,1612488059999,509615.41733400,762,148.99180000,241201.17114170,0
1612488060000,1620.65000000,1620.66000000,1617.72000000,1617.74000000,417.11668000,1612488119999,675290.00124420,653,141.09946000,228380.64426810,0
1612488120000,1617.74000000,1619.46000000,1617.07000000,1618.43000000,212.95216000,1612488179999,344598.85635250,537,106.12359000,171753.49243400,0
1612488180000,1618.43000000,1619.14000000,1616.16000000,1616.31000000,414.07382000,1612488239999,669629.89679610,720,202.49954000,327435.01233120,0
1612488240000,1616.22000000,1619.55000000,1616.22000000,1616.83000000,402.06111000,1612488299999,650499.39943070,598,221.89041000,358958.94881250,0
1612488300000,1616.83000000,1617.00000000,1615.00000000,1615.22000000,482.36438000,1612488359999,779379.82093350,802,207.15173000,334743.21188600,0
1612488360000,1615.21000000,1617.67000000,1613.06000000,1613.28000000,472.62170000,1612488419999,763475.85396600,786,213.66480000,345133.70227410,0
