Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1682035200000,0.36390000,0.36410000,0.36320000,0.36330000,24518.00000000,1682035259999,8916.79900000,65,8059.00000000,2931.34950000,0
1682035260000,0.36330000,0.36380000,0.36300000,0.36360000,17612.00000000,1682035319999,6400.80460000,48,9273.00000000,3369.77830000,0
1682035320000,0.36370000,0.36440000,0.36370000,0.36410000,22886.00000000,1682035379999,8333.52040000,42,13297.00000000,4841.13650000,0
1682035380000,0.36400000,0.36400000,0.36380000,0.36390000,42135.00000000,1682035439999,15332.72310000,49,25877.00000000,9416.71690000,0
1682035440000,0.36400000,0.36420000,0.36390000,0.36390000,4783.00000000,1682035499999,1741.26840000,13,1803.00000000,656.60880000,0
1682035500000,0.36370000,0.36370000,0.36250000,0.36280000,108351.00000000,1682035559999,39310.51770000,116,19574.00000000,7104.58720000,0
1682035560000,0.36280000,0.36330000,0.36270000,0.36320000,32615.00000000,1682035619999,11844.33110000,42,28196.00000000,10240.08670000,0
1682035620000,0.36340000,0.36360000,0.36330000,0.36350000,17145.00000000,1682035679999,6230.58620000,27,8033.00000000,2919.44610000,0
1682035680000,0.36360000,0.36440000,0.36360000,0.36440000,27951.00000000,1682035739999,10180.76810000,60,8036.00000000,2925.65180000,0
1682035740000,0.36450000,0.36490000,0.36420000,0.36420000,32585.00000000,1682035799999,11878.23880000,75,17549.00000000,6398.18920000,0
1682035800000,0.36410000,0.36410000,0.36340000,0.36350000,30439.00000000,1682035859999,11071.42860000,42,16171.00000000,5878.89630000,0
1682035860000,0.36350000,0.36390000,0.36320000,0.36390000,53647.00000000,1682035919999,19494.78200000,70,28494.00000000,10354.86190000,0
1682035920000,0.36370000,0.36380000,0.36340000,0.36380000,7560.00000000,1682035979999,2748.62440000,21,3292.00000000,1196.99960000,0
1682035980000,0.36380000,0.36380000,0.36340000,0.36360000,25692.00000000,1682036039999,9340.19390000,26,13634.00000000,4956.01110000,0
1682036040000,0.36360000,0.36370000,0.36300000,0.36300000,30870.00000000,1682036099999,11213.17190000,59,3815.00000000,1385.94920000,0
1682036100000,0.36300000,0.36330000,0.36290000,0.36330000,25084.00000000,1682036159999,9108.65010000,48,20893.00000000,7587.39340000,0
1682036160000,0.36340000,0.36390000,0.36340000,0.36390000,3819.00000000,1682036219999,1388.57540000,24,3789.00000000,1377.67340000,0
1682036220000,0.36390000,0.36410000,0.36360000,0.36410000,37212.00000000,1682036279999,13539.52660000,43,18864.00000000,6864.33730000,0
1682036280000,0.36420000,0.36430000,0.36400000,0.36420000,13036.00000000,1682036339999,4747.15120000,24,4520.00000000,1646.12980000,0
1682036340000,0.36410000,0.36410000,0.36370000,0.36370000,18393.00000000,1682036399999,6694.13010000,21,137.00000000,49.82690000,0
1682036400000,0.36360000,0.36420000,0.36340000,0.36420000,16285.00000000,1682036459999,5922.02680000,38,12090.00000000,4397.42590000,0
1682036460000,0.36390000,0.36390000,0.36310000,0.36310000,20472.00000000,1682036519999,7444.75820000,49,1834.00000000,666.62180000,0
1682036520000,0.36300000,0.36300000,0.36230000,0.36240000,19457.00000000,1682036579999,7053.93480000,44,8060.00000000,2921.48760000,0
1682036580000,0.36250000,0.36250000,0.36210000,0.36220000,15719.00000000,1682036639999,5695.94690000,48,10382.00000000,3762.20200000,0
1682036640000,0.36200000,0.36230000,0.36150000,0.36190000,42926.00000000,1682036699999,15533.67150000,93,13947.00000000,5047.92870000,0
1682036700000,0.36200000,0.36200000,0.36130000,0.36130000,13330.00000000,1682036759999,4818.54660000,41,981.00000000,354.61850000,0
1682036760000,0.36130000,0.36160000,0.36080000,0.36150000,51587.00000000,1682036819999,18635.19030000,126,24492.00000000,8848.84430000,0
1682036820000,0.36150000,0.36150000,0.36090000,0.36110000,15941.00000000,1682036879999,5758.08620000,32,3764.00000000,1359.09810000,0
1682036880000,0.36110000,0.36130000,0.36090000,0.36100000,18007.00000000,1682036939999,6503.83730000,25,7406.00000000,2675.60100000,0
1682036940000,0.36110000,0.36110000,0.36090000,0.36100000,13908.00000000,1682036999999,5021.97370000,17,9421.00000000,3401.87430000,0
1682037000000,0.36120000,0.36180000,0.36110000,0.36160000,23058.00000000,1682037059999,8336.69760000,48,11551.00000000,4175.57540000,0
1682037060000,0.36160000,0.36160000,0.36070000,0.36090000,18502.00000000,1682037119999,6685.04930000,51,8418.00000000,3043.16030000,0
1682037120000,0.36110000,0.36120000,0.36090000,0.36110000,3782.00000000,1682037179999,1365.52020000,10,3117.00000000,1125.45520000,0
1682037180000,0.36110000,0.36110000,0.36070000,0.36070000,23526.00000000,1682037239999,8490.67180000,36,10845.00000000,3913.36090000,0
1682037240000,0.36080000,0.36110000,0.36080000,0.36100000,36502.00000000,1682037299999,13171.80470000,41,34305.00000000,12378.68770000,0
1682037300000,0.36100000,0.36100000,0.36050000,0.36060000,52388.00000000,1682037359999,18900.29480000,70,24449.00000000,8822.46770000,0
1682037360000,0.36080000,0.36130000,0.36080000,0.36130000,15305.00000000,1682037419999,5526.20190000,35,10273.00000000,3709.03010000,0
1682037420000,0.36140000,0.36260000,0.36140000,0.36250000,31990.00000000,1682037479999,11585.76550000,73,18785.00000000,6802.47020000,0
1682037480000,0.36270000,0.36370000,0.36270000,0.36320000,40161.00000000,1682037539999,14590.70110000,84,20307.00000000,7377.14740000,0
1682037540000,0.36330000,0.36460000,0.36330000,0.36460000,55128.00000000,1682037599999,20075.34250000,92,29224.00000000,10637.87340000,0
1682037600000,0.36460000,0.36500000,0.36430000,0.36450000,42992.00000000,1682037659999,15681.90290000,120,14247.00000000,5196.36660000,0
1682037660000,0.36450000,0.36450000,0.36360000,0.36370000,18336.00000000,1682037719999,6675.20650000,40,1950.00000000,709.51920000,0
1682037720000,0.36360000,0.36480000,0.36360000,0.36480000,18282.00000000,1682037779999,6658.96850000,57,17633.00000000,6422.92370000,0
1682037780000,0.36480000,0.36510000,0.36450000,0.36450000,50226.00000000,1682037839999,18321.47630000,67,10574.00000000,3858.65560000,0
1682037840000,0.36440000,0.36450000,0.36430000,0.36450000,6454.00000000,1682037899999,2351.83340000,15,3619.00000000,1318.79520000,0
1682037900000,0.36450000,0.36520000,0.36440000,0.36520000,18785.00000000,1682037959999,6850.62840000,45,12302.00000000,4486.74070000,0
1682037960000,0.36530000,0.36590000,0.36530000,0.36570000,44332.00000000,1682038019999,16207.25640000,87,33006.00000000,12065.56250000,0
1682038020000,0.36550000,0.36580000,0.36550000,0.36560000,11773.00000000,1682038079999,4304.10340000,23,6162.00000000,2252.99300000,0
1682038080000,0.36550000,0.36680000,0.36550000,0.36640000,32795.00000000,1682038139999,12010.02800000,101,18104.00000000,6626.69470000,0
1682038140000,0.36650000,0.36650000,0.36620000,0.36630000,14897.00000000,1682038199999,5458.35050000,33,7607.00000000,2787.60310000,0
1682038200000,0.36610000,0.36610000,0.36570000,0.36580000,9471.00000000,1682038259999,3464.98220000,27,2801.00000000,1024.80030000,0
1682038260000,0.36580000,0.36590000,0.36540000,0.36580000,31414.00000000,1682038319999,11486.77440000,31,11310.00000000,4134.93600000,0
1682038320000,0.36570000,0.36610000,0.36530000,0.36600000,85965.00000000,1682038379999,31437.49480000,114,68887.00000000,25193.96490000,0
1682038380000,0.36600000,0.36600000,0.36540000,0.36540000,28035.00000000,1682038439999,10253.89130000,32,10324.00000000,3775.91720000,0
1682038440000,0.36550000,0.36580000,0.36520000,0.36580000,18254.00000000,1682038499999,6672.22030000,33,13013.00000000,4757.10040000,0
1682038500000,0.36570000,0.36570000,0.36480000,0.36530000,66278.00000000,1682038559999,24209.09380000,67,54843.00000000,20034.50630000,0
1682038560000,0.36540000,0.36630000,0.36540000,0.36630000,6241.00000000,1682038619999,2284.41830000,31,6088.00000000,2228.41840000,0
1682038620000,0.36620000,0.36620000,0.36570000,0.36590000,3766.00000000,1682038679999,1378.02290000,20,125.00000000,45.75070000,0
1682038680000,0.36570000,0.36630000,0.36570000,0.36630000,10514.00000000,1682038739999,3847.60330000,27,4260.00000000,1559.37560000,0
1682038740000,0.36620000,0.36620000,0.36550000,0.36550000,20758.00000000,1682038799999,7596.58360000,45,1698.00000000,621.00720000,0
1682038800000,0.36560000,0.36680000,0.36560000,0.36680000,28005.00000000,1682038859999,10258.48700000,63,21902.00000000,8022.66340000,0
1682038860000,0.36680000,0.36710000,0.36640000,0.36690000,37513.00000000,1682038919999,13762.92640000,84,33688.00000000,12360.24900000,0
1682038920000,0.36680000,0.36680000,0.36580000,0.36620000,18360.00000000,1682038979999,6723.55530000,54,7866.00000000,2880.70100000,0
1682038980000,0.36620000,0.36620000,0.36510000,0.36510000,11430.00000000,1682039039999,4178.04100000,56,3882.00000000,1419.87520000,0
1682039040000,0.36540000,0.36550000,0.36490000,0.36520000,26379.00000000,1682039099999,9632.34260000,55,11912.00000000,4349.96190000,0
1682039100000,0.36530000,0.36600000,0.36520000,0.36570000,20135.00000000,1682039159999,7360.34750000,39,10571.00000000,3863.25090000,0
1682039160000,0.36570000,0.36570000,0.36510000,0.36540000,15358.00000000,1682039219999,5613.35230000,30,5968.00000000,2181.73220000,0
1682039220000,0.36540000,0.36560000,0.36520000,0.36520000,18596.00000000,1682039279999,6794.09190000,26,11432.00000000,4176.97030000,0
1682039280000,0.36510000,0.36510000,0.36470000,0.36480000,21594.00000000,1682039339999,7880.35290000,41,4553.00000000,1661.25450000,0
1682039340000,0.36460000,0.36460000,0.36390000,0.36410000,31566.00000000,1682039399999,11497.74180000,76,6370.00000000,2319.50460000,0
1682039400000,0.36400000,0.36450000,0.36400000,0.36420000,24577.00000000,1682039459999,8954.56660000,37,19289.00000000,7028.67880000,0
1682039460000,0.36410000,0.36480000,0.36400000,0.36410000,39307.00000000,1682039519999,14320.88350000,96,22373.00000000,8151.16900000,0
1682039520000,0.36430000,0.36470000,0.36430000,0.36470000,16584.00000000,1682039579999,6045.11860000,33,11456.00000000,4175.68510000,0
1682039580000,0.36460000,0.36460000,0.36380000,0.36400000,28430.00000000,1682039639999,10352.64760000,66,7858.00000000,2859.82260000,0
1682039640000,0.36410000,0.36440000,0.36410000,0.36440000,12878.00000000,1682039699999,4691.00910000,21,12878.00000000,4691.00910000,0
1682039700000,0.36430000,0.36430000,0.36320000,0.36330000,77163.00000000,1682039759999,28049.16820000,133,11500.00000000,4181.10250000,0
1682039760000,0.36340000,0.36340000,0.36310000,0.36320000,7914.00000000,1682039819999,2874.87360000,25,2142.00000000,778.17730000,0
1682039820000,0.36320000,0.36320000,0.36250000,0.36310000,32934.00000000,1682039879999,11947.01090000,116,15232.00000000,5526.10950000,0
1682039880000,0.36320000,0.36320000,0.36300000,0.36310000,29778.00000000,1682039939999,10813.40210000,46,19146.00000000,6952.91930000,0
1682039940000,0.36330000,0.36330000,0.36240000,0.36300000,34525.00000000,1682039999999,12529.88000000,104,15358.00000000,5572.74250000,0
1682040000000,0.36300000,0.36330000,0.36290000,0.36320000,37273.00000000,1682040059999,13531.47750000,68,22141.00000000,8037.97280000,0
1682040060000,0.36330000,0.36390000,0.36330000,0.36390000,6238.00000000,1682040119999,2268.55690000,28,4578.00000000,1664.70970000,0
1682040120000,0.36400000,0.36410000,0.36310000,0.36380000,38696.00000000,1682040179999,14068.37150000,65,9835.00000000,3576.13280000,0
1682040180000,0.36370000,0.36370000,0.36300000,0.36320000,16542.00000000,1682040239999,6009.22310000,48,3326.00000000,1208.50780000,0
1682040240000,0.36330000,0.36360000,0.36330000,0.36360000,5795.00000000,1682040299999,2105.97010000,19,5795.00000000,2105.97010000,0
1682040300000,0.36360000,0.36360000,0.36250000,0.36260000,53576.00000000,1682040359999,19456.40580000,122,21920.00000000,7964.09020000,0
1682040360000,0.36260000,0.36290000,0.36250000,0.36250000,14453.00000000,1682040419999,5241.58150000,28,10019.00000000,3634.22090000,0
