Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1640995200000,2.24960000,2.25980000,2.24810000,2.25980000,85130.00000000,1640995259999,191861.77110000,343,66208.00000000,149259.28360000,0
1640995260000,2.25890000,2.27030000,2.25580000,2.26570000,120138.00000000,1640995319999,271942.49370000,423,67477.00000000,152626.35230000,0
1640995320000,2.26640000,2.27020000,2.26050000,2.26540000,117443.00000000,1640995379999,265970.43770000,358,67961.00000000,153928.67670000,0
1640995380000,2.26510000,2.26770000,2.25970000,2.26260000,49896.00000000,1640995439999,112907.91430000,263,34540.00000000,78147.01680000,0
1640995440000,2.26220000,2.26330000,2.25870000,2.26130000,70974.00000000,1640995499999,160473.49710000,204,22939.00000000,51876.64200000,0
1640995500000,2.26130000,2.26570000,2.25620000,2.26560000,53683.00000000,1640995559999,121360.24430000,246,36144.00000000,81712.59110000,0
1640995560000,2.26490000,2.28220000,2.26390000,2.27970000,351651.00000000,1640995619999,800185.65800000,860,246048.00000000,559766.77190000,0
1640995620000,2.27970000,2.28920000,2.27100000,2.27250000,229993.00000000,1640995679999,524373.29450000,775,139681.00000000,318738.04610000,0
1640995680000,2.27230000,2.27310000,2.26820000,2.26910000,59570.00000000,1640995739999,135259.12400000,289,38625.00000000,87713.98090000,0
1640995740000,2.26870000,2.26920000,2.26030000,2.26470000,65141.00000000,1640995799999,147442.69270000,440,42972.00000000,97266.43490000,0
1640995800000,2.26530000,2.26800000,2.26350000,2.26800000,35225.00000000,1640995859999,79783.05680000,159,26228.00000000,59402.51610000,0
1640995860000,2.26710000,2.26710000,2.25000000,2.25360000,307059.00000000,1640995919999,692476.61180000,737,52301.00000000,117882.81870000,0
1640995920000,2.25410000,2.25640000,2.25080000,2.25530000,45793.00000000,1640995979999,103179.00180000,190,27310.00000000,61530.02230000,0
1640995980000,2.25650000,2.26450000,2.25650000,2.26200000,73217.00000000,1640996039999,165556.56370000,262,53581.00000000,121139.32910000,0
1640996040000,2.26200000,2.26570000,2.26140000,2.26540000,37211.00000000,1640996099999,84229.50260000,126,29877.00000000,67632.85660000,0
1640996100000,2.26500000,2.26500000,2.26040000,2.26430000,29210.00000000,1640996159999,66069.13750000,116,20984.00000000,47456.68560000,0
1640996160000,2.26430000,2.26430000,2.25720000,2.26110000,45211.00000000,1640996219999,102193.10380000,171,19885.00000000,44948.19160000,0
1640996220000,2.26000000,2.26190000,2.25620000,2.25860000,32805.00000000,1640996279999,74076.04230000,139,22456.00000000,50703.48080000,0
1640996280000,2.25860000,2.25980000,2.25400000,2.25610000,41977.00000000,1640996339999,94695.36260000,137,35864.00000000,80907.82660000,0
1640996340000,2.25650000,2.25800000,2.25260000,2.25800000,45919.00000000,1640996399999,103587.16710000,179,29799.00000000,67222.53150000,0
1640996400000,2.25800000,2.26050000,2.25680000,2.26050000,70430.00000000,1640996459999,159115.33690000,144,48929.00000000,110531.72020000,0
1640996460000,2.26030000,2.26680000,2.25830000,2.26580000,86365.00000000,1640996519999,195250.90550000,229,58480.00000000,132224.66590000,0
1640996520000,2.26610000,2.26990000,2.26560000,2.26590000,50871.00000000,1640996579999,115349.37020000,175,27826.00000000,63095.03450000,0
1640996580000,2.26650000,2.26920000,2.26290000,2.26390000,41961.00000000,1640996639999,95008.97030000,134,28920.00000000,65485.43980000,0
1640996640000,2.26400000,2.27200000,2.26370000,2.27050000,37872.00000000,1640996699999,85906.98590000,180,29367.00000000,66610.32610000,0
1640996700000,2.27020000,2.28000000,2.26940000,2.28000000,167308.00000000,1640996759999,380608.05640000,464,139521.00000000,317383.74910000,0
1640996760000,2.27980000,2.28000000,2.27590000,2.27830000,55719.00000000,1640996819999,126894.98430000,159,43706.00000000,99534.07380000,0
1640996820000,2.27810000,2.27820000,2.27270000,2.27470000,61876.00000000,1640996879999,140777.74200000,171,34781.00000000,79114.93420000,0
1640996880000,2.27470000,2.27850000,2.27450000,2.27770000,58616.00000000,1640996939999,133510.43790000,143,36680.00000000,83539.56920000,0
1640996940000,2.27720000,2.28140000,2.27630000,2.28140000,69189.00000000,1640996999999,157714.38850000,179,64639.00000000,147344.16590000,0
1640997000000,2.28160000,2.28210000,2.27680000,2.27760000,54126.00000000,1640997059999,123354.22400000,160,13496.00000000,30762.96240000,0
1640997060000,2.27740000,2.27920000,2.27380000,2.27560000,56410.00000000,1640997119999,128401.07940000,157,32669.00000000,74363.81770000,0
1640997120000,2.27600000,2.28230000,2.27600000,2.28080000,60575.00000000,1640997179999,138084.55150000,147,29850.00000000,68024.90370000,0
1640997180000,2.27990000,2.28060000,2.27710000,2.28060000,21721.00000000,1640997239999,49496.34420000,85,18986.00000000,43265.75220000,0
1640997240000,2.28110000,2.28720000,2.28080000,2.28690000,145631.00000000,1640997299999,332588.26470000,411,92737.00000000,211784.94920000,0
1640997300000,2.28620000,2.29450000,2.28340000,2.28410000,248147.00000000,1640997359999,568340.05840000,826,171092.00000000,391965.63270000,0
1640997360000,2.28400000,2.28800000,2.28270000,2.28460000,64970.00000000,1640997419999,148461.14530000,260,43705.00000000,99873.99470000,0
1640997420000,2.28510000,2.28530000,2.27900000,2.28490000,71348.00000000,1640997479999,162756.71690000,267,35919.00000000,81933.68730000,0
1640997480000,2.28460000,2.28510000,2.28120000,2.28220000,10181.00000000,1640997539999,23245.78920000,75,5865.00000000,13393.65760000,0
1640997540000,2.28220000,2.28940000,2.28170000,2.28600000,150938.00000000,1640997599999,345181.65840000,318,47086.00000000,107629.54530000,0
1640997600000,2.28580000,2.29070000,2.28210000,2.28920000,71719.00000000,1640997659999,163944.49890000,291,46889.00000000,107196.78450000,0
1640997660000,2.28930000,2.29570000,2.28800000,2.29300000,150662.00000000,1640997719999,345293.96440000,378,85662.00000000,196336.01830000,0
1640997720000,2.29340000,2.30350000,2.29330000,2.30080000,266012.00000000,1640997779999,611650.37200000,1341,161816.00000000,372108.36950000,0
1640997780000,2.30050000,2.30800000,2.30050000,2.30740000,187346.00000000,1640997839999,431670.58570000,825,52558.00000000,121107.74110000,0
1640997840000,2.30710000,2.30870000,2.29890000,2.29890000,175889.00000000,1640997899999,404807.10540000,1476,44133.00000000,101619.86780000,0
1640997900000,2.29910000,2.30380000,2.29640000,2.30380000,53925.00000000,1640997959999,123974.13250000,247,16213.00000000,37283.89870000,0
1640997960000,2.30360000,2.31930000,2.30230000,2.31470000,279521.00000000,1640998019999,646578.40720000,1514,208082.00000000,481430.56350000,0
1640998020000,2.31450000,2.31490000,2.30620000,2.31470000,120469.00000000,1640998079999,278290.26320000,910,71095.00000000,164219.17730000,0
1640998080000,2.31480000,2.31820000,2.31070000,2.31590000,122156.00000000,1640998139999,282791.73030000,555,57574.00000000,133310.92280000,0
1640998140000,2.31580000,2.32150000,2.31380000,2.31960000,182781.00000000,1640998199999,423788.36880000,732,132980.00000000,308419.40570000,0
1640998200000,2.31900000,2.32500000,2.31670000,2.32110000,163505.00000000,1640998259999,379611.24660000,1004,96494.00000000,224063.01800000,0
1640998260000,2.32100000,2.32730000,2.32100000,2.32460000,120452.00000000,1640998319999,280009.41750000,724,50194.00000000,116702.14150000,0
1640998320000,2.32450000,2.32450000,2.31450000,2.31950000,81116.00000000,1640998379999,188228.27850000,465,24576.00000000,57006.48590000,0
1640998380000,2.31920000,2.32200000,2.31590000,2.31650000,58300.00000000,1640998439999,135182.77590000,332,25539.00000000,59243.37460000,0
1640998440000,2.31620000,2.32350000,2.31610000,2.31850000,47477.00000000,1640998499999,110121.55260000,287,27856.00000000,64627.49440000,0
1640998500000,2.31830000,2.32800000,2.31760000,2.32700000,279132.00000000,1640998559999,649249.37950000,910,159765.00000000,371613.82490000,0
1640998560000,2.32660000,2.32800000,2.32320000,2.32450000,41272.00000000,1640998619999,95982.94900000,230,24337.00000000,56599.80160000,0
1640998620000,2.32500000,2.32790000,2.32480000,2.32730000,64598.00000000,1640998679999,150267.74180000,268,28383.00000000,66036.77580000,0
1640998680000,2.32740000,2.32790000,2.31740000,2.32400000,363619.00000000,1640998739999,844675.16890000,672,57904.00000000,134519.40920000,0
1640998740000,2.32400000,2.32600000,2.32360000,2.32520000,24563.00000000,1640998799999,57099.17300000,150,10604.00000000,24650.14440000,0
1640998800000,2.32520000,2.32530000,2.31310000,2.31480000,187315.00000000,1640998859999,434378.14970000,514,36207.00000000,83974.42200000,0
1640998860000,2.31490000,2.31490000,2.30770000,2.30900000,108758.00000000,1640998919999,251363.74210000,431,43102.00000000,99611.37970000,0
1640998920000,2.30900000,2.31350000,2.30810000,2.31240000,43214.00000000,1640998979999,99868.60410000,210,19733.00000000,45610.03470000,0
1640998980000,2.31270000,2.31450000,2.30480000,2.30510000,56973.00000000,1640999039999,131599.06840000,279,20559.00000000,47545.77710000,0
1640999040000,2.30480000,2.30660000,2.30140000,2.30190000,75168.00000000,1640999099999,173226.35500000,374,31656.00000000,72965.53870000,0
1640999100000,2.30240000,2.30400000,2.29910000,2.30120000,135635.00000000,1640999159999,312081.57260000,392,98934.00000000,227634.97080000,0
1640999160000,2.30080000,2.30510000,2.30040000,2.30510000,12262.00000000,1640999219999,28232.33500000,85,7020.00000000,16164.35750000,0
1640999220000,2.30510000,2.31180000,2.30510000,2.31170000,75460.00000000,1640999279999,174198.07320000,213,49742.00000000,114828.31390000,0
1640999280000,2.31180000,2.31650000,2.31180000,2.31460000,19259.00000000,1640999339999,44573.03390000,135,11420.00000000,26433.23520000,0
1640999340000,2.31470000,2.31860000,2.31280000,2.31470000,65870.00000000,1640999399999,152557.83160000,234,29884.00000000,69230.67610000,0
1640999400000,2.31540000,2.32370000,2.31530000,2.31890000,141757.00000000,1640999459999,328891.13410000,490,96127.00000000,223044.18570000,0
1640999460000,2.31880000,2.32020000,2.31300000,2.31350000,51214.00000000,1640999519999,118664.27720000,229,25749.00000000,59674.68940000,0
1640999520000,2.31500000,2.32050000,2.31500000,2.31870000,27711.00000000,1640999579999,64242.84580000,141,13286.00000000,30798.63260000,0
1640999580000,2.31870000,2.32200000,2.31870000,2.32110000,68593.00000000,1640999639999,159152.38800000,187,25194.00000000,58453.53540000,0
1640999640000,2.32040000,2.32200000,2.31600000,2.32080000,28397.00000000,1640999699999,65839.19200000,160,17166.00000000,39801.32540000,0
1640999700000,2.32110000,2.32190000,2.31670000,2.32020000,40751.00000000,1640999759999,94512.61340000,181,24567.00000000,56974.04050000,0
1640999760000,2.32050000,2.32650000,2.32030000,2.32480000,99637.00000000,1640999819999,231508.86550000,236,70629.00000000,164082.39680000,0
1640999820000,2.32600000,2.32970000,2.32510000,2.32780000,250010.00000000,1640999879999,582003.57370000,573,110907.00000000,258198.78600000,0
1640999880000,2.32870000,2.32920000,2.32340000,2.32660000,49778.00000000,1640999939999,115757.02660000,145,13337.00000000,31027.00430000,0
1640999940000,2.32760000,2.32880000,2.32330000,2.32720000,50232.00000000,1640999999999,116827.26590000,176,27194.00000000,63249.89070000,0
1641000000000,2.32690000,2.33000000,2.32410000,2.32500000,220727.00000000,1641000059999,513787.00890000,417,176925.00000000,411867.80250000,0
1641000060000,2.32560000,2.32590000,2.31500000,2.31550000,208354.00000000,1641000119999,483466.89940000,468,68451.00000000,158855.44560000,0
1641000120000,2.31550000,2.31750000,2.30830000,2.31090000,91457.00000000,1641000179999,211571.91780000,388,35499.00000000,82139.70920000,0
1641000180000,2.30990000,2.31260000,2.30900000,2.31180000,45100.00000000,1641000239999,104208.94520000,189,28550.00000000,65979.05260000,0
1641000240000,2.31190000,2.31490000,2.30790000,2.31320000,137162.00000000,1641000299999,317094.92880000,320,104516.00000000,241661.45130000,0
1641000300000,2.31370000,2.31820000,2.31230000,2.31230000,45798.00000000,1641000359999,106019.97650000,174,31675.00000000,73328.66680000,0
1641000360000,2.31310000,2.31330000,2.30880000,2.31210000,30931.00000000,1641000419999,71469.52050000,128,20603.00000000,47609.30190000,0
1641000420000,2.31220000,2.31610000,2.31130000,2.31440000,38799.00000000,1641000479999,89752.28950000,137,35005.00000000,80977.06540000,0
1641000480000,2.31490000,2.31870000,2.31330000,2.31380000,46740.00000000,1641000539999,108199.90920000,157,28013.00000000,64857.69430000,0
1641000540000,2.31360000,2.31540000,2.30930000,2.31270000,34245.00000000,1641000599999,79193.60610000,123,16251.00000000,37580.45210000,0
1641000600000,2.31290000,2.31440000,2.31050000,2.31260000,33701.00000000,1641000659999,77946.66920000,130,18502.00000000,42797.38450000,0
1641000660000,2.31180000,2.31360000,2.30890000,2.30900000,25110.00000000,1641000719999,58043.25620000,117,14521.00000000,33573.59900000,0
1641000720000,2.30870000,2.31100000,2.30830000,2.30960000,28975.00000000,1641000779999,66918.38370000,102,25061.00000000,57879.12700000,0
1641000780000,2.30970000,2.31200000,2.30670000,2.30980000,38335.00000000,1641000839999,88536.57530000,173,25539.00000000,58993.14920000,0
1641000840000,2.31100000,2.31210000,2.30810000,2.31020000,15816.00000000,1641000899999,36531.56410000,77,13292.00000000,30702.67180000,0
1641000900000,2.30940000,2.31170000,2.30910000,2.31080000,17780.00000000,1641000959999,41072.29720000,88,13906.00000000,32121.80160000,0
1641000960000,2.31090000,2.31260000,2.31040000,2.31240000,23258.00000000,1641001019999,53759.32060000,109,17277.00000000,39937.11490000,0
1641001020000,2.31220000,2.31250000,2.30920000,2.30930000,25772.00000000,1641001079999,59558.24440000,126,10890.00000000,25171.40290000,0
