Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1673395200000,0.85850000,0.85870000,0.85780000,0.85830000,10662.90000000,1673395259999,9150.55669000,39,9233.10000000,7923.52816000,0
1673395260000,0.85830000,0.85850000,0.85800000,0.85830000,27148.90000000,1673395319999,23300.32533000,57,16529.90000000,14185.95418000,0
1673395320000,0.85820000,0.85850000,0.85720000,0.85740000,16898.30000000,1673395379999,14495.25904000,40,2193.90000000,1881.44948000,0
1673395380000,0.85740000,0.85810000,0.85740000,0.85780000,18167.60000000,1673395439999,15583.64505000,37,8474.10000000,7267.66099000,0
1673395440000,0.85780000,0.85790000,0.85750000,0.85760000,6237.10000000,1673395499999,5349.73505000,35,1604.50000000,1376.25708000,0
1673395500000,0.85760000,0.85760000,0.85730000,0.85750000,1680.50000000,1673395559999,1441.02184000,15,1048.30000000,898.92634000,0
1673395560000,0.85740000,0.85750000,0.85700000,0.85710000,1921.70000000,1673395619999,1647.52338000,15,149.50000000,128.15929000,0
1673395620000,0.85700000,0.85700000,0.85600000,0.85610000,27453.50000000,1673395679999,23509.69684000,52,16278.10000000,13939.86655000,0
1673395680000,0.85620000,0.85640000,0.85580000,0.85600000,46347.10000000,1673395739999,39674.56579000,60,19740.00000000,16897.17159000,0
1673395740000,0.85610000,0.85610000,0.85560000,0.85590000,36138.00000000,1673395799999,30928.60555000,58,17188.00000000,14709.37181000,0
1673395800000,0.85590000,0.85590000,0.85560000,0.85570000,30864.60000000,1673395859999,26409.54703000,48,11918.30000000,10197.73839000,0
1673395860000,0.85560000,0.85580000,0.85520000,0.85530000,9402.50000000,1673395919999,8043.65897000,45,3145.40000000,2690.63460000,0
1673395920000,0.85520000,0.85530000,0.85500000,0.85510000,25868.60000000,1673395979999,22123.33681000,43,13933.40000000,11916.70070000,0
1673395980000,0.85510000,0.85550000,0.85490000,0.85490000,26859.00000000,1673396039999,22965.26325000,41,13003.50000000,11118.33545000,0
1673396040000,0.85490000,0.85720000,0.85490000,0.85720000,66507.80000000,1673396099999,56944.14648000,109,52419.10000000,44872.08687000,0
1673396100000,0.85720000,0.85860000,0.85710000,0.85850000,57316.00000000,1673396159999,49175.91487000,111,31995.90000000,27451.33924000,0
1673396160000,0.85870000,0.85950000,0.85860000,0.85920000,106573.20000000,1673396219999,91539.93672000,151,50732.90000000,43574.85772000,0
1673396220000,0.85930000,0.85940000,0.85900000,0.85910000,14528.80000000,1673396279999,12484.17604000,31,4304.40000000,3698.46392000,0
1673396280000,0.85920000,0.85950000,0.85900000,0.85900000,6268.70000000,1673396339999,5386.25553000,45,5733.20000000,4926.23643000,0
1673396340000,0.85900000,0.85920000,0.85860000,0.85920000,13824.10000000,1673396399999,11872.31072000,43,9573.30000000,8221.93276000,0
