Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1672963200000,1.02500000,1.02600000,1.02500000,1.02500000,24220.55000000,1672963259999,24835.88555000,42,14722.61000000,15099.35558000,0
1672963260000,1.02500000,1.02600000,1.02400000,1.02600000,17807.97000000,1672963319999,18247.17048000,37,8200.10000000,8402.97741000,0
1672963320000,1.02500000,1.02500000,1.02400000,1.02400000,4663.37000000,1672963379999,4775.53882000,10,0.00000000,0.00000000,0
1672963380000,1.02400000,1.02500000,1.02400000,1.02400000,1490.03000000,1672963439999,1526.78487000,3,1242.09000000,1272.89431000,0
1672963440000,1.02300000,1.02300000,1.02200000,1.02300000,8300.40000000,1672963499999,8490.48648000,24,742.80000000,759.63574000,0
1672963500000,1.02300000,1.02400000,1.02300000,1.02400000,5477.86000000,1672963559999,5607.77977000,22,2910.06000000,2979.85257000,0
1672963560000,1.02400000,1.02400000,1.02400000,1.02400000,875.55000000,1672963619999,896.56320000,3,875.55000000,896.56320000,0
1672963620000,1.02400000,1.02700000,1.02400000,1.02700000,13741.35000000,1672963679999,14085.93994000,43,12532.40000000,12847.45323000,0
1672963680000,1.02600000,1.02600000,1.02600000,1.02600000,5404.17000000,1672963739999,5544.67842000,15,0.00000000,0.00000000,0
1672963740000,1.02600000,1.02600000,1.02600000,1.02600000,10.72000000,1672963799999,10.99872000,1,10.72000000,10.99872000,0
1672963800000,1.02700000,1.02700000,1.02400000,1.02400000,27161.44000000,1672963859999,27875.12030000,43,967.72000000,993.68468000,0
1672963860000,1.02400000,1.02600000,1.02400000,1.02500000,12573.88000000,1672963919999,12887.45620000,29,9233.57000000,9464.16127000,0
1672963920000,1.02500000,1.02500000,1.02400000,1.02400000,5052.08000000,1672963979999,5173.55638000,16,0.00000000,0.00000000,0
1672963980000,1.02300000,1.02400000,1.02300000,1.02400000,5873.66000000,1672964039999,6013.24612000,11,332.49000000,340.46976000,0
1672964040000,1.02300000,1.02300000,1.02200000,1.02300000,5642.49000000,1672964099999,5770.36524000,29,2024.29000000,2070.84867000,0
1672964100000,1.02300000,1.02400000,1.02300000,1.02400000,6900.17000000,1672964159999,7061.21432000,15,3188.14000000,3263.80763000,0
1672964160000,1.02300000,1.02300000,1.02300000,1.02300000,2053.61000000,1672964219999,2100.84303000,11,232.35000000,237.69405000,0
1672964220000,1.02300000,1.02400000,1.02300000,1.02400000,3515.34000000,1672964279999,3598.18696000,7,3515.34000000,3598.18696000,0
1672964280000,1.02400000,1.02400000,1.02300000,1.02300000,2675.18000000,1672964339999,2736.71907000,5,9.93000000,10.16832000,0
1672964340000,1.02200000,1.02300000,1.02100000,1.02300000,12087.95000000,1672964399999,12356.13661000,19,6523.69000000,6669.55389000,0
1672964400000,1.02200000,1.02300000,1.02200000,1.02300000,1535.74000000,1672964459999,1571.00478000,9,653.00000000,668.01900000,0
1672964460000,1.02300000,1.02600000,1.02300000,1.02500000,11509.62000000,1672964519999,11781.21707000,23,7898.45000000,8081.77681000,0
1672964520000,1.02600000,1.02600000,1.02600000,1.02600000,4689.64000000,1672964579999,4811.57064000,13,1473.48000000,1511.79048000,0
1672964580000,1.02500000,1.02500000,1.02400000,1.02500000,5143.10000000,1672964639999,5268.43826000,10,1005.86000000,1031.00650000,0
1672964640000,1.02500000,1.02600000,1.02500000,1.02600000,56756.06000000,1672964699999,58222.38568000,68,15412.24000000,15812.04490000,0
1672964700000,1.02600000,1.02600000,1.02600000,1.02600000,1751.46000000,1672964759999,1796.99796000,9,1525.00000000,1564.65000000,0
1672964760000,1.02600000,1.02600000,1.02500000,1.02600000,20865.18000000,1672964819999,21404.64947000,48,4092.37000000,4195.74641000,0
1672964820000,1.02500000,1.02500000,1.02500000,1.02500000,7646.23000000,1672964879999,7837.38575000,16,3471.65000000,3558.44125000,0
1672964880000,1.02600000,1.02700000,1.02600000,1.02600000,24420.49000000,1672964939999,25065.69835000,37,20559.58000000,21103.56703000,0
1672964940000,1.02700000,1.02700000,1.02700000,1.02700000,5612.66000000,1672964999999,5764.20182000,28,5172.66000000,5312.32182000,0
1672965000000,1.02800000,1.02900000,1.02800000,1.02800000,9833.96000000,1672965059999,10111.91441000,35,5083.91000000,5227.79546000,0
1672965060000,1.02900000,1.02900000,1.02900000,1.02900000,699.11000000,1672965119999,719.38419000,4,699.11000000,719.38419000,0
1672965120000,1.02900000,1.03000000,1.02900000,1.02900000,5342.40000000,1672965179999,5497.57233000,14,712.52000000,733.42581000,0
1672965180000,1.02900000,1.03000000,1.02900000,1.02900000,13713.83000000,1672965239999,14120.95024000,29,1918.25000000,1974.47748000,0
1672965240000,1.03000000,1.03100000,1.03000000,1.03100000,577.22000000,1672965299999,594.73079000,7,577.22000000,594.73079000,0
1672965300000,1.03100000,1.03100000,1.03000000,1.03000000,13421.72000000,1672965359999,13832.72196000,21,133.10000000,137.13300000,0
1672965360000,1.03000000,1.03200000,1.03000000,1.03200000,24535.15000000,1672965419999,25291.74409000,43,7822.11000000,8064.26386000,0
1672965420000,1.03200000,1.03200000,1.03100000,1.03100000,1636.37000000,1672965479999,1687.93384000,5,836.37000000,863.13384000,0
1672965480000,1.03100000,1.03100000,1.03100000,1.03100000,1312.73000000,1672965539999,1353.42463000,3,1272.73000000,1312.18463000,0
1672965540000,1.03100000,1.03100000,1.03000000,1.03100000,7188.05000000,1672965599999,7410.79785000,15,1658.26000000,1709.66606000,0
1672965600000,1.03000000,1.03000000,1.02900000,1.02900000,5840.13000000,1672965659999,6011.91045000,15,2569.60000000,2645.21919000,0
1672965660000,1.02900000,1.02900000,1.02900000,1.02900000,1358.60000000,1672965719999,1397.99940000,4,1358.60000000,1397.99940000,0
1672965720000,1.02900000,1.02900000,1.02900000,1.02900000,12.62000000,1672965779999,12.98598000,1,0.00000000,0.00000000,0
1672965780000,1.02900000,1.02900000,1.02800000,1.02900000,7720.32000000,1672965839999,7943.86691000,13,4611.21000000,4744.93509000,0
1672965840000,1.02900000,1.02900000,1.02900000,1.02900000,0.00000000,1672965899999,0.00000000,0,0.00000000,0.00000000,0
1672965900000,1.02900000,1.02900000,1.02800000,1.02800000,3534.75000000,1672965959999,3636.31681000,8,0.00000000,0.00000000,0
1672965960000,1.02800000,1.02900000,1.02800000,1.02900000,67.10000000,1672966019999,68.99590000,3,17.10000000,17.59590000,0
1672966020000,1.02900000,1.02900000,1.02800000,1.02900000,347.63000000,1672966079999,357.59454000,5,230.90000000,237.59610000,0
1672966080000,1.02900000,1.03000000,1.02900000,1.03000000,5284.17000000,1672966139999,5442.03277000,19,5053.01000000,5203.93797000,0
1672966140000,1.03100000,1.03100000,1.03000000,1.03000000,32889.77000000,1672966199999,33903.04699000,66,16127.52000000,16625.69129000,0
1672966200000,1.03000000,1.03000000,1.03000000,1.03000000,2438.26000000,1672966259999,2511.40780000,4,2424.96000000,2497.70880000,0
1672966260000,1.03000000,1.03100000,1.03000000,1.03100000,4588.74000000,1672966319999,4727.41438000,12,3027.90000000,3119.69128000,0
1672966320000,1.03100000,1.03100000,1.03000000,1.03100000,8024.18000000,1672966379999,8271.34376000,11,5506.45000000,5677.14995000,0
1672966380000,1.03100000,1.03300000,1.03100000,1.03200000,16817.81000000,1672966439999,17355.89432000,34,13190.37000000,13612.87624000,0
1672966440000,1.03200000,1.03200000,1.03100000,1.03100000,6602.30000000,1672966499999,6807.27130000,11,300.00000000,309.60000000,0
1672966500000,1.03000000,1.03000000,1.03000000,1.03000000,3560.90000000,1672966559999,3667.72700000,11,3110.18000000,3203.48540000,0
1672966560000,1.03000000,1.03000000,1.03000000,1.03000000,0.00000000,1672966619999,0.00000000,0,0.00000000,0.00000000,0
1672966620000,1.03000000,1.03000000,1.03000000,1.03000000,2402.10000000,1672966679999,2474.16300000,4,2402.10000000,2474.16300000,0
1672966680000,1.03100000,1.03100000,1.03100000,1.03100000,1480.42000000,1672966739999,1526.31302000,7,1405.82000000,1449.40042000,0
1672966740000,1.03200000,1.03200000,1.03200000,1.03200000,9450.41000000,1672966799999,9752.82312000,17,3773.45000000,3894.20040000,0
1672966800000,1.03100000,1.03100000,1.03100000,1.03100000,3623.89000000,1672966859999,3736.23059000,11,2520.14000000,2598.26434000,0
1672966860000,1.03200000,1.03200000,1.03200000,1.03200000,2313.46000000,1672966919999,2387.49072000,6,2313.46000000,2387.49072000,0
1672966920000,1.03200000,1.03400000,1.03100000,1.03300000,38772.22000000,1672966979999,40052.66164000,54,31938.81000000,32996.99368000,0
1672966980000,1.03300000,1.03300000,1.03200000,1.03200000,5399.45000000,1672967039999,5575.23791000,8,3005.51000000,3104.69183000,0
1672967040000,1.03300000,1.03300000,1.03300000,1.03300000,445.26000000,1672967099999,459.95358000,1,445.26000000,459.95358000,0
1672967100000,1.03200000,1.03200000,1.03200000,1.03200000,394.36000000,1672967159999,406.97952000,6,0.00000000,0.00000000,0
1672967160000,1.03200000,1.03200000,1.03200000,1.03200000,571.64000000,1672967219999,589.93248000,3,0.00000000,0.00000000,0
1672967220000,1.03300000,1.03300000,1.03200000,1.03200000,6788.85000000,1672967279999,7006.11309000,5,19.89000000,20.54637000,0
1672967280000,1.03200000,1.03200000,1.03100000,1.03100000,1070.09000000,1672967339999,1103.66279000,6,400.00000000,412.80000000,0
1672967340000,1.03100000,1.03100000,1.03000000,1.03100000,2783.66000000,1672967399999,2868.65975000,10,740.50000000,763.45550000,0
1672967400000,1.03000000,1.03000000,1.02900000,1.03000000,9783.28000000,1672967459999,10076.32768000,20,5187.59000000,5343.21770000,0
1672967460000,1.03000000,1.03000000,1.03000000,1.03000000,337.12000000,1672967519999,347.23360000,1,0.00000000,0.00000000,0
1672967520000,1.03000000,1.03100000,1.03000000,1.03100000,4353.24000000,1672967579999,4487.83528000,13,3925.93000000,4047.63383000,0
1672967580000,1.03100000,1.03100000,1.03100000,1.03100000,0.00000000,1672967639999,0.00000000,0,0.00000000,0.00000000,0
1672967640000,1.03200000,1.03200000,1.03100000,1.03100000,2489.55000000,1672967699999,2569.11760000,7,2391.55000000,2468.07960000,0
1672967700000,1.03100000,1.03100000,1.03100000,1.03100000,15136.29000000,1672967759999,15605.51499000,21,0.00000000,0.00000000,0
1672967760000,1.03100000,1.03300000,1.03100000,1.03200000,52898.69000000,1672967819999,54579.70130000,47,49987.13000000,51575.47138000,0
1672967820000,1.03200000,1.03300000,1.03200000,1.03300000,1132.38000000,1672967879999,1168.71527000,7,1132.38000000,1168.71527000,0
1672967880000,1.03300000,1.03300000,1.03300000,1.03300000,1099.05000000,1672967939999,1135.31865000,11,1099.05000000,1135.31865000,0
1672967940000,1.03300000,1.03300000,1.03300000,1.03300000,272.80000000,1672967999999,281.80240000,9,272.80000000,281.80240000,0
1672968000000,1.03200000,1.03200000,1.03100000,1.03100000,14187.68000000,1672968059999,14631.16312000,28,911.46000000,940.49976000,0
1672968060000,1.03100000,1.03100000,1.03100000,1.03100000,153.69000000,1672968119999,158.45439000,3,153.69000000,158.45439000,0
1672968120000,1.03100000,1.03100000,1.03100000,1.03100000,94.25000000,1672968179999,97.17175000,1,94.25000000,97.17175000,0
1672968180000,1.03100000,1.03100000,1.03100000,1.03100000,1087.90000000,1672968239999,1121.62490000,9,837.90000000,863.87490000,0
1672968240000,1.03100000,1.03100000,1.03100000,1.03100000,3213.05000000,1672968299999,3312.65455000,8,0.00000000,0.00000000,0
1672968300000,1.03100000,1.03100000,1.03000000,1.03000000,3289.16000000,1672968359999,3388.33480000,12,0.00000000,0.00000000,0
1672968360000,1.03000000,1.03000000,1.03000000,1.03000000,1082.40000000,1672968419999,1114.87200000,4,0.00000000,0.00000000,0
1672968420000,1.02900000,1.02900000,1.02900000,1.02900000,5113.35000000,1672968479999,5261.63715000,12,2948.59000000,3034.09911000,0
1672968480000,1.03000000,1.03000000,1.03000000,1.03000000,5171.03000000,1672968539999,5326.16090000,19,2450.14000000,2523.64420000,0
1672968540000,1.03000000,1.03000000,1.03000000,1.03000000,1877.21000000,1672968599999,1933.52630000,5,1877.21000000,1933.52630000,0
1672968600000,1.03100000,1.03100000,1.03000000,1.03000000,6562.16000000,1672968659999,6759.78898000,9,968.64000000,998.46338000,0
1672968660000,1.03100000,1.03100000,1.03100000,1.03100000,3365.54000000,1672968719999,3469.87174000,9,885.36000000,912.80616000,0
1672968720000,1.03100000,1.03100000,1.03100000,1.03100000,12.99000000,1672968779999,13.39269000,1,0.00000000,0.00000000,0
1672968780000,1.03100000,1.03100000,1.03100000,1.03100000,0.00000000,1672968839999,0.00000000,0,0.00000000,0.00000000,0
1672968840000,1.03100000,1.03100000,1.03100000,1.03100000,0.00000000,1672968899999,0.00000000,0,0.00000000,0.00000000,0
1672968900000,1.03100000,1.03100000,1.03100000,1.03100000,0.00000000,1672968959999,0.00000000,0,0.00000000,0.00000000,0
1672968960000,1.03100000,1.03200000,1.03100000,1.03200000,276.67000000,1672969019999,285.25655000,3,9.78000000,10.09296000,0
1672969020000,1.03200000,1.03200000,1.03200000,1.03200000,2901.22000000,1672969079999,2994.05904000,12,2901.22000000,2994.05904000,0
1672969080000,1.03100000,1.03200000,1.03100000,1.03200000,396.66000000,1672969139999,408.96785000,2,11.39000000,11.75448000,0
1672969140000,1.03200000,1.03200000,1.03200000,1.03200000,1000.00000000,1672969199999,1032.00000000,2,1000.00000000,1032.00000000,0
1672969200000,1.03200000,1.03200000,1.03200000,1.03200000,15.47000000,1672969259999,15.96504000,1,15.47000000,15.96504000,0
1672969260000,1.03200000,1.03200000,1.03200000,1.03200000,0.00000000,1672969319999,0.00000000,0,0.00000000,0.00000000,0
1672969320000,1.03200000,1.03500000,1.03200000,1.03400000,50216.61000000,1672969379999,51885.55329000,59,40436.64000000,41777.34893000,0
1672969380000,1.03400000,1.03400000,1.03300000,1.03400000,7736.69000000,1672969439999,7999.65562000,12,47.28000000,48.88752000,0
1672969440000,1.03300000,1.03400000,1.03300000,1.03400000,1394.15000000,1672969499999,1441.52093000,3,1363.98000000,1410.35532000,0
1672969500000,1.03300000,1.03400000,1.03300000,1.03400000,1032.83000000,1672969559999,1067.93072000,7,679.30000000,702.39620000,0
