Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1688688000000,0.26410000,0.26430000,0.26390000,0.26430000,2530.00000000,1688688059999,668.29520000,16,1649.00000000,435.75140000,0
1688688060000,0.26440000,0.26450000,0.26350000,0.26350000,97177.00000000,1688688119999,25662.67780000,68,51154.00000000,13510.36440000,0
1688688120000,0.26340000,0.26380000,0.26140000,0.26240000,141628.00000000,1688688179999,37163.67380000,242,90540.00000000,23764.19090000,0
1688688180000,0.26210000,0.26310000,0.26120000,0.26180000,101372.00000000,1688688239999,26570.01070000,138,58194.00000000,15267.70800000,0
1688688240000,0.26220000,0.26340000,0.26220000,0.26300000,34861.00000000,1688688299999,9168.34510000,73,21538.00000000,5664.39670000,0
1688688300000,0.26290000,0.26400000,0.26290000,0.26350000,26500.00000000,1688688359999,6986.22500000,47,17065.00000000,4499.54180000,0
1688688360000,0.26340000,0.26380000,0.26310000,0.26310000,14957.00000000,1688688419999,3939.37910000,38,860.00000000,226.81490000,0
1688688420000,0.26340000,0.26360000,0.26330000,0.26360000,7016.00000000,1688688479999,1847.88370000,19,5117.00000000,1347.87700000,0
1688688480000,0.26340000,0.26400000,0.26340000,0.26400000,43694.00000000,1688688539999,11520.50610000,37,1635.00000000,431.47620000,0
1688688540000,0.26370000,0.26400000,0.26360000,0.26400000,8289.00000000,1688688599999,2187.86260000,13,7896.00000000,2084.24720000,0
1688688600000,0.26390000,0.26470000,0.26360000,0.26420000,54896.00000000,1688688659999,14503.12910000,92,20041.00000000,5296.14200000,0
1688688660000,0.26460000,0.26480000,0.26460000,0.26470000,8006.00000000,1688688719999,2119.07030000,14,8006.00000000,2119.07030000,0
1688688720000,0.26470000,0.26540000,0.26440000,0.26470000,52077.00000000,1688688779999,13790.70780000,62,12326.00000000,3265.96750000,0
1688688780000,0.26480000,0.26500000,0.26450000,0.26470000,23176.00000000,1688688839999,6134.89210000,26,5274.00000000,1397.07940000,0
1688688840000,0.26440000,0.26490000,0.26440000,0.26480000,3859.00000000,1688688899999,1021.61610000,14,2949.00000000,780.97050000,0
1688688900000,0.26470000,0.26510000,0.26460000,0.26510000,3415.00000000,1688688959999,904.19430000,13,1492.00000000,395.27620000,0
1688688960000,0.26500000,0.26500000,0.26390000,0.26420000,153471.00000000,1688689019999,40559.45570000,56,0.00000000,0.00000000,0
1688689020000,0.26440000,0.26440000,0.26400000,0.26400000,5212.00000000,1688689079999,1376.65040000,15,243.00000000,64.24920000,0
1688689080000,0.26420000,0.26430000,0.26410000,0.26420000,3750.00000000,1688689139999,990.62700000,15,3750.00000000,990.62700000,0
1688689140000,0.26400000,0.26410000,0.26380000,0.26400000,4366.00000000,1688689199999,1152.57030000,17,2866.00000000,756.62580000,0
1688689200000,0.26400000,0.26420000,0.26370000,0.26400000,6131.00000000,1688689259999,1618.58820000,17,1822.00000000,481.19890000,0
1688689260000,0.26380000,0.26380000,0.26360000,0.26360000,4783.00000000,1688689319999,1261.26270000,10,0.00000000,0.00000000,0
1688689320000,0.26370000,0.26380000,0.26320000,0.26330000,5368.00000000,1688689379999,1414.33530000,17,72.00000000,18.98910000,0
1688689380000,0.26350000,0.26360000,0.26320000,0.26340000,14761.00000000,1688689439999,3888.92920000,11,9394.00000000,2475.31060000,0
1688689440000,0.26340000,0.26340000,0.26290000,0.26330000,8583.00000000,1688689499999,2257.88130000,21,2430.00000000,639.93270000,0
1688689500000,0.26340000,0.26340000,0.26310000,0.26320000,5618.00000000,1688689559999,1479.03270000,11,5336.00000000,1404.78240000,0
1688689560000,0.26310000,0.26330000,0.26300000,0.26320000,52970.00000000,1688689619999,13944.54970000,16,33738.00000000,8882.12100000,0
1688689620000,0.26330000,0.26330000,0.26330000,0.26330000,11470.00000000,1688689679999,3020.05100000,2,11470.00000000,3020.05100000,0
1688689680000,0.26340000,0.26340000,0.26330000,0.26340000,1646.00000000,1688689739999,433.54920000,7,1574.00000000,414.59160000,0
1688689740000,0.26340000,0.26380000,0.26300000,0.26380000,115296.00000000,1688689799999,30374.13180000,44,114529.00000000,30172.18670000,0
1688689800000,0.26380000,0.26380000,0.26330000,0.26350000,2808.00000000,1688689859999,739.54620000,11,227.00000000,59.83610000,0
1688689860000,0.26320000,0.26320000,0.26280000,0.26290000,15160.00000000,1688689919999,3989.13510000,17,359.00000000,94.38110000,0
1688689920000,0.26310000,0.26330000,0.26310000,0.26330000,2544.00000000,1688689979999,669.50100000,7,2544.00000000,669.50100000,0
1688689980000,0.26300000,0.26300000,0.26250000,0.26250000,11479.00000000,1688690039999,3013.42440000,14,1001.00000000,262.76250000,0
1688690040000,0.26230000,0.26250000,0.26170000,0.26230000,59275.00000000,1688690099999,15531.69300000,71,22299.00000000,5846.08080000,0
1688690100000,0.26210000,0.26210000,0.26150000,0.26170000,38178.00000000,1688690159999,9995.18460000,27,26677.00000000,6983.55710000,0
1688690160000,0.26180000,0.26220000,0.26170000,0.26170000,17586.00000000,1688690219999,4607.94890000,31,16537.00000000,4333.27320000,0
1688690220000,0.26170000,0.26180000,0.26100000,0.26140000,158408.00000000,1688690279999,41377.07690000,76,32035.00000000,8377.22520000,0
1688690280000,0.26120000,0.26140000,0.26090000,0.26100000,31523.00000000,1688690339999,8232.83290000,36,29021.00000000,7579.75910000,0
1688690340000,0.26100000,0.26120000,0.26100000,0.26100000,4272.00000000,1688690399999,1115.05000000,10,290.00000000,75.74800000,0
1688690400000,0.26130000,0.26180000,0.26130000,0.26180000,5507.00000000,1688690459999,1440.16300000,11,5507.00000000,1440.16300000,0
1688690460000,0.26180000,0.26210000,0.26180000,0.26210000,17917.00000000,1688690519999,4693.24030000,31,17917.00000000,4693.24030000,0
1688690520000,0.26220000,0.26320000,0.26210000,0.26320000,31439.00000000,1688690579999,8259.28020000,47,22666.00000000,5958.09360000,0
1688690580000,0.26310000,0.26380000,0.26310000,0.26360000,29022.00000000,1688690639999,7652.03730000,37,22884.00000000,6033.76150000,0
1688690640000,0.26360000,0.26410000,0.26360000,0.26380000,2679.00000000,1688690699999,706.89960000,14,1019.00000000,268.92620000,0
1688690700000,0.26380000,0.26400000,0.26340000,0.26400000,1778.00000000,1688690759999,468.88870000,12,948.00000000,250.12290000,0
1688690760000,0.26390000,0.26740000,0.26380000,0.26550000,903450.00000000,1688690819999,240031.65190000,409,411249.00000000,109107.72650000,0
1688690820000,0.26550000,0.26570000,0.26530000,0.26540000,5602.00000000,1688690879999,1486.82790000,9,4616.00000000,1225.23760000,0
1688690880000,0.26570000,0.26710000,0.26570000,0.26620000,430836.00000000,1688690939999,114837.49530000,214,310398.00000000,82724.29100000,0
1688690940000,0.26640000,0.26640000,0.26600000,0.26600000,4561.00000000,1688690999999,1213.57340000,15,1440.00000000,383.26400000,0
1688691000000,0.26590000,0.26590000,0.26540000,0.26540000,8903.00000000,1688691059999,2365.20870000,27,0.00000000,0.00000000,0
1688691060000,0.26550000,0.26560000,0.26510000,0.26510000,24157.00000000,1688691119999,6408.96290000,26,3396.00000000,901.97760000,0
1688691120000,0.26520000,0.26550000,0.26510000,0.26530000,1711.00000000,1688691179999,453.75930000,11,200.00000000,53.10000000,0
1688691180000,0.26540000,0.26590000,0.26540000,0.26580000,7645.00000000,1688691239999,2029.80720000,20,7518.00000000,1996.07730000,0
1688691240000,0.26580000,0.26580000,0.26580000,0.26580000,334.00000000,1688691299999,88.77720000,4,228.00000000,60.60240000,0
1688691300000,0.26570000,0.26570000,0.26560000,0.26560000,19580.00000000,1688691359999,5202.39650000,6,12000.00000000,3188.40000000,0
1688691360000,0.26570000,0.26590000,0.26550000,0.26590000,8571.00000000,1688691419999,2276.56530000,10,8152.00000000,2165.30020000,0
1688691420000,0.26600000,0.26620000,0.26600000,0.26620000,10095.00000000,1688691479999,2687.18840000,11,10095.00000000,2687.18840000,0
1688691480000,0.26590000,0.26600000,0.26580000,0.26590000,5101.00000000,1688691539999,1356.35820000,14,1019.00000000,271.05400000,0
