Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset volume
1612051200000,0.44369000,0.44858000,0.43131000,0.43450000,12912587.20000000,1612051259999,5679210.35423800,6077,5929730.20000000,2611244.91715900,0
1612051260000,0.43516000,0.43552000,0.42728000,0.43234000,9363554.30000000,1612051319999,4040339.40649300,4062,4009625.30000000,1730781.16263300,0
1612051320000,0.43241000,0.43845000,0.43172000,0.43741000,5412710.40000000,1612051379999,2356238.66567400,2439,3049954.80000000,1327391.85088700,0
1612051380000,0.43742000,0.43989000,0.43353000,0.43409000,3908925.30000000,1612051439999,1709731.39146800,1976,1809770.80000000,791974.95520900,0
1612051440000,0.43409000,0.43821000,0.43111000,0.43766000,5439430.70000000,1612051499999,2363115.93766400,2198,2826551.40000000,1228501.52824600,0
1612051500000,0.43778000,0.43918000,0.43420000,0.43742000,4272562.70000000,1612051559999,1866244.50260600,1958,2347175.70000000,1025428.29863800,0
1612051560000,0.43742000,0.43745000,0.43166000,0.43301000,3664362.50000000,1612051619999,1589962.79246100,1749,1839441.30000000,798101.62976700,0
1612051620000,0.43301000,0.43355000,0.42700000,0.42911000,5110181.40000000,1612051679999,2194752.94775900,2488,2126543.40000000,913044.70086000,0
1612051680000,0.42891000,0.42899000,0.42417000,0.42678000,4490800.40000000,1612051739999,1913417.30414000,2359,1904785.40000000,811843.61428100,0
1612051740000,0.42660000,0.43267000,0.42589000,0.42880000,4137264.10000000,1612051799999,1776110.69924800,2154,2520631.70000000,1081727.40252500,0
1612051800000,0.42876000,0.43406000,0.42803000,0.43406000,3198151.90000000,1612051859999,1379258.72622300,1467,2032749.90000000,876852.33429200,0
1612051860000,0.43409000,0.43724000,0.43268000,0.43314000,3182431.70000000,1612051919999,1385510.79975300,1900,1584393.10000000,689888.47379200,0
1612051920000,0.43281000,0.43305000,0.42880000,0.43168000,3361748.90000000,1612051979999,1448176.34231100,2020,1691900.90000000,729021.07513100,0
1612051980000,0.43169000,0.43188000,0.42618000,0.42646000,2722367.30000000,1612052039999,1168005.93369400,1436,889830.10000000,381679.97798000,0
1612052040000,0.42635000,0.42956000,0.42612000,0.42700000,3329222.10000000,1612052099999,1425399.07584000,1405,1513123.70000000,647959.49470900,0
1612052100000,0.42702000,0.43025000,0.42610000,0.42649000,3527133.80000000,1612052159999,1510601.65811600,1432,1578978.50000000,676582.28009200,0
1612052160000,0.42649000,0.42650000,0.42276000,0.42479000,5025316.80000000,1612052219999,2131454.08995100,2426,1803663.10000000,764902.59742600,0
1612052220000,0.42447000,0.42462000,0.41800000,0.41828000,7065297.40000000,1612052279999,2968020.23532700,3477,2425480.70000000,1018859.33378600,0
1612052280000,0.41803000,0.42300000,0.41500000,0.41500000,5488785.10000000,1612052339999,2300203.16112700,2951,2669502.20000000,1120587.34822300,0
1612052340000,0.41500000,0.41975000,0.41324000,0.41822000,5647688.30000000,1612052399999,2353216.83855300,2892,3176715.20000000,1323809.57179700,0
1612052400000,0.41844000,0.42269000,0.41844000,0.42102000,3737889.30000000,1612052459999,1574073.17932500,1873,2044340.70000000,860751.26169500,0
1612052460000,0.42102000,0.42432000,0.41980000,0.42049000,3442029.30000000,1612052519999,1453583.84649000,1680,1680966.50000000,709948.42226200,0
1612052520000,0.42049000,0.42317000,0.42024000,0.42048000,2111962.50000000,1612052579999,890835.24803700,1156,1103277.20000000,465357.51518700,0
1612052580000,0.42028000,0.42044000,0.41750000,0.41924000,2876280.80000000,1612052639999,1204870.76491000,1458,1332200.30000000,558269.07254500,0
1612052640000,0.41902000,0.42300000,0.41697000,0.42222000,3448752.00000000,1612052699999,1448648.93321800,1738,1640035.70000000,689445.17401800,0
1612052700000,0.42211000,0.42335000,0.41993000,0.42330000,2658343.40000000,1612052759999,1121173.71988600,1301,1480514.50000000,624222.74170700,0
1612052760000,0.42330000,0.42400000,0.42042000,0.42350000,3773271.50000000,1612052819999,1593946.38131900,1266,1671989.50000000,706168.45831000,0
1612052820000,0.42347000,0.42832000,0.42000000,0.42727000,6603813.70000000,1612052879999,2809258.48198900,2764,3579884.60000000,1523184.16401900,0
1612052880000,0.42707000,0.42930000,0.42489000,0.42500000,4195517.60000000,1612052939999,1793443.36527500,1600,1722378.20000000,736069.91493800,0
1612052940000,0.42493000,0.42617000,0.42145000,0.42437000,2196123.40000000,1612052999999,930841.78733900,1290,1093228.10000000,463326.17497000,0
1612053000000,0.42447000,0.42754000,0.42257000,0.42719000,2310827.70000000,1612053059999,983143.79427700,1298,1135797.50000000,483371.02280900,0
1612053060000,0.42718000,0.42867000,0.42526000,0.42587000,2667255.20000000,1612053119999,1139644.57591000,1098,908122.10000000,387912.79701900,0
1612053120000,0.42588000,0.42930000,0.42588000,0.42726000,3276780.50000000,1612053179999,1402212.61782700,1302,1955562.50000000,837054.07571900,0
1612053180000,0.42730000,0.42943000,0.42692000,0.42756000,2363140.80000000,1612053239999,1012550.13928900,1065,1536389.40000000,658340.98508200,0
1612053240000,0.42762000,0.42829000,0.41801000,0.42047000,8195069.30000000,1612053299999,3454236.06736300,3171,4868165.90000000,2049259.33832600,0
1612053300000,0.42046000,0.42240000,0.41905000,0.42036000,2940257.70000000,1612053359999,1238057.35814500,1748,1360494.90000000,572960.37738000,0
1612053360000,0.42023000,0.42326000,0.42000000,0.42227000,2960953.20000000,1612053419999,1248475.04576500,1515,1488152.50000000,627597.94895500,0
1612053420000,0.42212000,0.42328000,0.42170000,0.42186000,932852.40000000,1612053479999,394109.12255100,679,442218.30000000,186822.28623200,0
1612053480000,0.42174000,0.42242000,0.41903000,0.42200000,2665871.70000000,1612053539999,1121101.52547100,1275,1328547.90000000,558817.26556100,0
1612053540000,0.42197000,0.42199000,0.41746000,0.41850000,2103218.20000000,1612053599999,882597.32082600,1176,696763.00000000,292348.62932700,0
1612053600000,0.41844000,0.42000000,0.41712000,0.41829000,2146177.00000000,1612053659999,898772.55584700,1277,1034210.60000000,433158.27483000,0
1612053660000,0.41837000,0.41837000,0.41547000,0.41745000,2299806.60000000,1612053719999,958246.17465800,1503,743657.10000000,309901.55075900,0
1612053720000,0.41743000,0.41968000,0.41700000,0.41909000,1961563.60000000,1612053779999,821242.59848500,947,757213.60000000,316889.02303800,0
1612053780000,0.41911000,0.42300000,0.41897000,0.42241000,2517854.50000000,1612053839999,1059530.12037500,1246,1572592.10000000,661460.83282400,0
1612053840000,0.42268000,0.42500000,0.42006000,0.42111000,2668113.10000000,1612053899999,1129168.98783600,1674,1414619.70000000,598890.52826600,0
1612053900000,0.42109000,0.42383000,0.42071000,0.42356000,1512777.50000000,1612053959999,639669.28050100,884,758723.80000000,320656.72469700,0
1612053960000,0.42356000,0.42366000,0.41815000,0.41906000,2287365.90000000,1612054019999,962213.92091300,1155,1082682.70000000,455598.81364700,0
1612054020000,0.41885000,0.42072000,0.41853000,0.42033000,1213376.00000000,1612054079999,509462.32382500,754,691193.60000000,290197.14879200,0
1612054080000,0.42028000,0.42368000,0.42025000,0.42324000,1868108.00000000,1612054139999,789256.46935800,873,701043.90000000,296032.37284300,0
1612054140000,0.42324000,0.42682000,0.42274000,0.42312000,3565057.70000000,1612054199999,1515826.79947600,1781,1975403.80000000,840095.80048200,0
1612054200000,0.42309000,0.42600000,0.42300000,0.42446000,1630995.40000000,1612054259999,693391.40533300,936,792491.90000000,336910.49901400,0
1612054260000,0.42448000,0.42823000,0.42443000,0.42736000,2013670.40000000,1612054319999,858643.04403000,1132,1155054.30000000,492559.57082100,0
1612054320000,0.42718000,0.42827000,0.42433000,0.42621000,2140273.10000000,1612054379999,912039.34661500,1148,1084111.50000000,461874.28492200,0
1612054380000,0.42621000,0.42743000,0.42305000,0.42371000,1805507.70000000,1612054439999,768375.15572100,1304,603292.40000000,256834.89940800,0
1612054440000,0.42371000,0.42599000,0.42257000,0.42431000,2105115.30000000,1612054499999,892727.94149300,1500,1115270.50000000,473058.03370600,0
1612054500000,0.42433000,0.42833000,0.42422000,0.42744000,1727759.10000000,1612054559999,737650.25816000,1293,885843.70000000,378389.58266300,0
1612054560000,0.42746000,0.43177000,0.42706000,0.42999000,4417526.00000000,1612054619999,1899333.91470800,2667,2774093.30000000,1192720.26830300,0
1612054620000,0.42990000,0.43355000,0.42830000,0.43076000,3176561.80000000,1612054679999,1370892.27711500,2030,1508801.60000000,651063.45611300,0
1612054680000,0.43089000,0.43298000,0.42740000,0.43039000,2986377.10000000,1612054739999,1285003.64203800,1959,1495397.00000000,643843.76270400,0
1612054740000,0.43027000,0.43027000,0.42636000,0.42845000,2272345.50000000,1612054799999,973495.80070500,1517,825310.30000000,353479.67401200,0
1612054800000,0.42840000,0.43158000,0.42832000,0.43015000,3593627.20000000,1612054859999,1545515.06356900,1686,1386040.50000000,596005.85620400,0
1612054860000,0.43015000,0.43400000,0.42988000,0.43079000,2950698.60000000,1612054919999,1275243.07632200,1782,1838536.40000000,794663.41474600,0
